번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),점포구분명,Unnamed: 29,위도,경도
1,대규모점포,08_25_01_P,4060000,2025406055207500001,2025-12-30,,1,영업/정상,1,정상영업,,,,,031-960-3194,36314.0,,경기도 파주시 문발동 645 롯데프리미엄아울렛,"경기도 파주시 회동길 390, 롯데프리미엄아울렛 (문발동)",10881,롯데쇼핑(주) 프리미엄아울렛 파주점,2025-12-30 13:32:46,I,2026-01-01 00:20:41,복합쇼핑몰,172931.265518853,468411.848859123,대규모점포,,37.717753,126.693776
8,대규모점포,08_25_01_P,3240000,2025324028907500005,2025-09-15,,1,영업/정상,1,정상영업,,,,,,33071.94,,서울특별시 강동구 둔촌동 170-1 포레온스테이션5,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 (둔촌동)",05409,올림픽파크포레온 스테이션5,2025-10-01 15:28:52,U,2025-10-03 02:40:00,그 밖의 대규모점포,212195.109947109,447197.273286818,대규모점포,,37.526936,127.138751
9,대규모점포,08_25_01_P,3240000,2025324028907500006,2025-09-15,,1,영업/정상,1,정상영업,,,,,,8884.28,,서울특별시 강동구 둔촌동 174-1 올림픽파크포레온,"서울특별시 강동구 양재대로 1300 (둔촌동, 올림픽파크포레온)",05410,올림픽파크포레온 스테이션9,2025-11-25 16:52:26,U,2025-11-27 02:40:00,그 밖의 대규모점포,212027.481158905,446598.591776331,대규모점포,,37.521544,127.136845
15,대규모점포,08_25_01_P,4520000,2025452038307500001,2025-08-08,,1,영업/정상,1,정상영업,,,,,041-544-4864,7643.85,,충청남도 아산시 용화동 111-1,충청남도 아산시 남부로 246 (용화동),31580,온양농협 하나로마트 이순신점,2025-09-05 13:31:32,U,2025-09-07 02:40:00,대형마트,200807.952676366,363254.305043069,대규모점포,,36.770645,127.009845
19,대규모점포,08_25_01_P,4060000,2025406050707500002,2025-07-16,,1,영업/정상,1,정상영업,,,,,0319603194,36314.0,,경기도 파주시 문발동 645 롯데프리미엄아울렛,"경기도 파주시 회동길 390, 롯데프리미엄아울렛 (문발동)",10881,롯데프리미엄아울렛파주점,2025-07-16 14:08:17,I,2025-07-18 00:20:12,복합쇼핑몰,172931.265518853,468411.848859123,대규모점포,,37.717753,126.693776
21,대규모점포,08_25_01_P,3940000,2025394044407500001,2025-06-23,,1,영업/정상,1,정상영업,,,,,02-782-9114,25203.39,,경기도 고양시 일산동구 풍동 1183,,,에비뉴 드 엘로이,2025-07-22 17:10:16,U,2025-07-24 02:40:00,그 밖의 대규모점포,181588.686552499,462370.643368579,대규모점포,,37.663539,126.79212
22,대규모점포,08_25_01_P,4050000,2025405055307500001,2025-06-18,,1,영업/정상,1,정상영업,,,,,031-202-1623,4901.29,,경기도 용인시 기흥구 공세동 359-2,경기도 용인시 기흥구 공세로 202 (공세동),17100,더팩토리 아울렛,2025-08-05 10:32:23,U,2025-08-07 02:40:00,전문점,209055.326991917,415283.591517845,대규모점포,,37.239425,127.102843
26,대규모점포,08_25_01_P,3180000,2025318027007500001,2025-05-28,,1,영업/정상,1,정상영업,,,,,02-2069-2058,3034.02,,서울특별시 영등포구 양평동1가 30,서울특별시 영등포구 선유동1로 9-7 (양평동1가),07262,양남시장정비사업,2025-10-16 10:06:52,U,2025-10-18 02:40:00,그 밖의 대규모점포,190307.528282719,446742.556303998,대규모점포,,37.522867,126.891144
30,대규모점포,08_25_01_P,3520000,2025352024107500001,2025-05-12,,1,영업/정상,1,정상영업,,,,,032-810-2500,9196.74,,인천광역시 연수구 청학동 502-4 롯데마트 연수점,"인천광역시 연수구 청능대로 87, 롯데마트 연수점 (청학동)",21926,롯데마트 연수점,2025-05-12 16:16:27,I,2025-05-14 00:20:35,대형마트,171173.885129435,434824.628551534,대규모점포,,37.415087,126.675167
31,대규모점포,08_25_01_P,3520000,2025352024107500002,2025-05-12,,1,영업/정상,1,정상영업,,,,,032-222-2523,10874.0,,인천광역시 연수구 송도동 6-11 롯데마트,"인천광역시 연수구 컨벤시아대로 177, 롯데마트 (송도동)",21998,롯데마트 송도점,2025-05-12 15:26:06,I,2025-05-14 00:20:35,대형마트,168348.646973511,431855.205739156,대규모점포,,37.388241,126.643381
