시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,담당자전화번호,비고
고양시,조합설립,재개발,고양 Ⅰ-1구역,경기도 고양시 덕양구 고양동 22-2번지 일원(제일복지회관 주변),24500,1970~2004,45,196,15,70,90,21,,352,123,169,60,292,,120,140,32,,60,60,,,37%,222%,124,123,조합,2009,,2006-12-21,2006-12-21,2009-06-30,2009-12-24,,2007-03-05,,,2010-06-18,,,,,,,,031-8075-3434,
고양시,예정구역,재건축,관산Ⅱ-1구역,경기도 고양시 덕양구 관산동 178-57번지 일원,16404,1980~1992,8,435,20,80,235,100,,,,,,,,,,,,,,,,230%,230%,435,,,,,2014-01-06,2020-12-31,,,,,2019-05-13,2024-04-15,,,,,,,,,031-8075-3432,
고양시,준공,재개발,관산1차,경기도 고양시 관산동 178-52번지 일원,6986,1987,21,33,2,12,15,4,,340,50,290,,340,,136,102,68,34,,,,,126%,669%,53,50,조합,2007,2012,,,,2005-09-26,2007-08-13,2005-12-05,,,2006-01-10,2007-09-21,2007-12-27,2011-01-20,2011-04-28,2014-02-28,2014-03-14,,031-8075-3434,
고양시,준공,재건축,일산Ⅱ-1구역(탄현주공),경기도 고양시 탄현동 28번지 일원,23728,1989,13,33,2,12,15,4,,589,393,178,18,571,,141,398,32,,18,,18,,95%,250%,393,393,조합,2007,2012,2006-12-21,,,2007-10-22,,,,2003-06-30,2003-06-30,2008-12-31,2009-12-31,2011-03-04,2013-05-09,2013-08-02,2014-07-11,,031-8075-3434,
고양시,준공,재건축,주교성사1단지,경기도 고양시 덕양구 성사동 869,66998,1986,35,1050,,846,204,,,1486,1047,289,150,1336,,164,616,376,180,150,,150,,80%,277%,1047,1047,조합,2005,2009,,,,2006-06-19,2007-12-27,,,2003-02-28,2003-06-30,2006-06-20,2006-10-12,2007-04-30,2009-11-25,2009-12-02,2010-06-18,,031-8075-3434,
고양시,착공,재건축,능곡 2-1,경기도 고양시 덕양구 토당동 251-12번지 일원,33263,1985,45,534,,416,118,,,834,489,270,75,759,,374,385,,,75,,75,,123%,283%,541,489,조합,2007,,2006-12-21,,,2007-08-27,2018-12-21,2003-12-29,2003-05-28,2003-11-04,2007-08-31,2008-03-14,2018-05-10,2020-02-19,2020-10-16,,2024-09-10,,031-8075-3432,
고양시,관리처분,재건축,행신 Ⅱ-1구역,경기도 고양시 행신동 173-1번지일원(행신지구 재건축 주변),13062,1980~2003,13,267,20,90,120,37,,272,169,103,,272,,132,140,,,,,,,104%,230%,186,169,조합,2010,,2006-12-21,2006-12-21,2009-09-01,2010-03-09,2017-03-24,,,,2001-09-21,2022-05-03,2024-02-23,,,,,,031-8075-3432,
고양시,사업시행,재개발,고양Ⅰ-2구역,경기도 고양시 덕양구 고양동 92-1번지 일원(한양연립 주변),16154,1980~1995,14,160,10,60,80,10,,309,129,142,38,271,7,202,62,,,38,38,,,55%,218%,132,129,조합,2008,,2006-12-21,,,2009-06-09,2011-06-17,2007-04-23,,,2009-11-20,2011-06-24,,,,,,,031-8075-3434,
고양시,조합설립,재개발,일산Ⅰ-2구역,경기도 고양시 일산동 960-16번지 일원,17738,1940~2001,9,94,,4,5,,,308,98,172,38,270,,196,74,,,38,20,18,,150%,230%,99,98,조합,2015,,2006-12-21,2008-01-01,2014-01-14,2015-04-10,2017-04-14,2010-02-01,,,2019-01-15,,,,,,,,031-8075-3434,
고양시,조합설립,재개발,행신Ⅰ-1구역,경기도 고양시 덕양구 행신동 222번지 일원,29320,1980~2012,84,662,43,180,350,150,,663,533,50,80,583,,423,160,,,80,61,19,,200%,230%,557,557,,,,2014-01-06,2020-12-31,,2022-12-27,,2023-04-06,,,2024-04-15,,,,,,,,031-8075-3434,
고양시,준공,재건축,원당주공2단지,경기도 고양시 성사동 715번지,77755,1986,37,1260,,800,460,,,1651,1252,111,288,1363,,117,685,476,85,288,,223,65,77%,266%,1260,1252,조합,2007,2010,,,,2006-01-16,2006-05-22,,,2003-03-24,2003-06-30,2006-05-24,2006-10-23,2007-04-23,2009-11-17,2009-10-30,2010-03-30,,031-8075-3434,
과천시,조합설립,재건축,주공10단지구역,경기도 과천시 중앙동 67번지 일원,102100,1984,26,632,,,172,460,,1339,632,707,,1339,,348,628,342,21,,,,,82%,180%,669,648,조합,2016,2030,2010-04-30,2010-04-30,2016-11-21,2016-11-21,,2021-08-10,,2014-12-29,,,,,,,,,02-3677-2656,
과천시,관리처분,재건축,"주공8,9단지구역",경기도 과천시 부림동 41번지 일원,138828,1982,29,2120,,540,1580,,,2829,2120,709,,2829,,242,1523,971,93,,,,,130%,237%,2171,2041,조합,2019,2029,2010-04-30,2010-04-30,2019-02-28,2019-02-28,2022-10-26,2021-02-23,,2014-12-29,,2024-03-21,2025-01-08,,,,,,02-3677-2652,
과천시,관리처분,재건축,주공5단지구역,경기도 과천시 별양동 6번지 일원,63629,1983,7,800,,,,800,,1242,828,414,,1242,,0,556,682,4,,,,,175%,300%,834,776,조합,2017,2028,2010-04-30,2010-04-30,2017-05-15,2017-05-15,2020-10-29,2020-01-23,,2014-12-29,,2024-05-21,2025-03-21,,,,,,02-3677-2653,
과천시,청산,재건축,주공7-2단지,경기도 과천시 별양동 3번지 일원,31967,1982,11,400,,300,100,,,543,400,143,,543,,224,274,45,,,,,,91%,220%,401,400,조합,2011,2018,2010-04-30,,2011-12-29,2011-12-29,2012-03-19,2013-07-17,,2010-05-06,,2014-10-31,2015-07-10,2016-04-28,2016-05-24,2018-07-25,2018-12-12,,02-3677-2653,
과천시,청산,재건축,주공12단지,경기도 과천시 갈현동 369 일원,9289,1984,5,44,,,,44,,100,43,57,,100,,,62,35,3,,,,,47%,164%,47,45,조합,2007,2020,,,,,,2006-06-08,,2006-04-27,,2006-07-11,2007-01-05,2018-05-21,2018-05-25,2020-08-11,2020-11-23,,02-3677-2656,
과천시,준공,재건축,주공1단지,경기도 과천시 중앙동 37번지 일원,114500,1981,39,1062,,400,662,,,1571,1062,509,,1571,,462,581,473,55,,,,,75%,189%,1135,1133,조합,2011,2020,2010-04-30,,2011-09-23,2011-09-23,2019-07-17,2012-04-06,,2010-05-06,,2015-06-17,2016-03-22,2017-09-08,2019-07-22,2020-03-31,2020-10-15,,02-3677-2652,
과천시,준공,재건축,주공7-1단지,경기도 과천시 부림동 49번지 일원,80419,1982,24,722,,400,322,,,1317,739,578,,1317,,316,752,247,2,,,,,67%,212%,745,742,조합,2011,2020,2010-04-30,,2011-12-29,2011-12-29,2021-03-18,2013-12-19,,2010-05-06,,2015-08-27,2016-04-15,2017-12-01,2018-01-25,2020-12-21,2021-05-20,,02-3677-2653,
과천시,준공,재건축,주공2단지,"경기도 과천시 원문동 2, 별양동 8번지 일원",118069,1982,38,1620,500,1120,,,,2128,1607,521,,2128,62,806,1011,249,,,,,,71%,227%,1618,1607,조합,2011,2021,2010-04-30,,2011-08-09,2011-08-09,2021-05-18,2012-09-26,2006-08-23,2007-04-10,,2015-06-30,2016-11-16,2018-02-20,2018-03-16,2021-01-28,2021-05-20,,02-3677-2652,
과천시,준공,재건축,주공6단지,경기도 과천시 별양동 52번지 일원,118176,1982,47,1262,,620,642,,,2099,1316,783,,2099,,706,845,504,44,,,,,81%,222%,1340,1294,조합,2011,2021,2010-04-30,,2011-09-23,2011-09-23,2017-12-20,2011-12-08,,2010-05-06,,2015-06-25,2016-07-27,2018-12-23,2019-05-15,2022-03-18,2022-04-25,,02-3677-2657,
과천시,착공,재건축,주공4단지구역,경기도 과천시 별양동 7번지 일원,60679,1983,10,1110,,210,900,,,1445,1158,287,,1445,,288,960,197,,,,,,170%,288%,1163,1150,조합,2017,2027,2010-04-30,2010-04-30,2017-05-15,2017-05-15,2022-08-11,2018-03-12,,2014-12-29,,2020-09-01,2022-05-27,2024-07-01,2024-10-07,,,,02-3677-2657,
과천시,착공,재개발,주암장군마을,경기도 과천시 주암동 63-9번지 일원,52895,1980-2009,143,420,20,175,41,65,119,880,488,348,44,836,,229,453,154,,44,44,,,145%,232%,405,401,조합,2016,2027,2010-04-30,2015-12-31,2016-08-12,2016-08-12,2021-04-06,2018-08-20,,,,2021-10-29,2023-03-15,2025-04-25,2025-08-26,,,,02-3677-2656,
광명시,준공,재건축,철산주공4단지,경기도 광명시 철산3동 452,35288,1985,15,470,,,470,,,798,475,323,,798,,443,327,28,,,,,,82%,285%,478,472,조합,2014,2021,,,2010-11-25,2011-10-31,2017-06-16,2013-08-08,2009-11-18,2010-04-02,,2016-06-30,2017-03-03,2018-07-04,2018-07-19,2021-02-26,2021-08-23,,02-2680-6972,
광명시,준공,재건축,광명5동(월드메르디앙아파트),경기도 광명시 광명동 776-49,19983,1981,35,273,273,,,,,577,264,313,,577,,126,451,,,,,,,167%,297%,273,264,조합,2004,2007,,,,2004-06-14,,1996-09-26,,,,2003-06-26,,2004-08-23,2004-08-19,2007-04-26,,,02-2680-6972,
광명시,준공,재건축,철산주공2단지아파트,경기도 광명시 철산동 373,58711,1980,24,1000,1000,,,,,1264,1027,237,,1264,,286,584,334,60,,,,,80%,254%,1004,1004,조합,2006,2009,,,,2005-03-28,,2002-06-30,2002-06-04,2003-04-21,,2005-05-16,2005-12-28,2007-01-29,2009-12-04,2010-02-18,2011-07-06,,02-2680-6972,
광명시,준공,재건축,하안주공본1단지아파트,경기도 광명시 하안동 764,132500,1982,57,2440,2440,,,,,2815,2387,428,,2815,,596,1492,674,53,,,,,80%,251%,2440,2382,조합,2006,2010,,,,2005-03-28,,2002-09-23,2001-12-10,2002-03-21,,2005-05-16,2005-12-28,2006-11-28,2009-10-08,2010-01-14,2010-05-25,,02-2680-6972,
광명시,준공,재건축,하안주공본2단지아파트,경기도 광명시 하안동 769,63744,1982,42,940,940,,,,,1248,948,300,,1248,,250,556,336,106,,,,,80%,245%,962,962,조합,2006,2009,,,,2005-03-28,,2002-08-27,2002-02-21,2002-05-30,,2005-05-16,2005-12-22,2006-11-30,2009-08-04,2009-11-02,2010-04-23,,02-2680-6972,
광명시,준공,주거환경개선,광명철산,경기도 광명시 철산동 510,78673,1991,380,1952,148,1025,576,203,,2351,,1117,1234,1117,,462,541,114,,1234,580,654,,50~100%,275%,1933,1933,LH,1996,2002,,,,1996-02-03,,,,,,1996-11-14,,1998-08-28,2001-05-07,2002-05-24,,,02-2680-2363,
광명시,준공,주거환경개선,광명삼각주,경기도 광명시 철산동 606,11480,1996,170,281,,220,61,,,401,,182,219,182,,92,90,,,219,,219,,50~100%,284%,278,278,LH,1997,2001,,,,1996-06-26,,,,,,1997-09-30,,1999-04-15,2000-10-10,2001-10-15,,,02-2680-2363,
광명시,준공,주거환경개선,광명신촌마을,경기도 광명시 소하동 4-1 일원,112120,2001,501,919,23,550,346,,,1760,,885,875,885,,113,628,144,,875,66,809,,50~100%,176%,910,910,LH,2003,2010,,,,2003-05-28,2009-01-09,,,,,2005-02-07,,2009-06-30,2009-08-26,2010-10-29,,,02-2680-2363,
광명시,추진위원회,재건축,철산주공12단지,경기도 광명시 nan,,,,1800,,,,,,,,,,2753,,,,,,,,,,,,,,,,,2025-08-04,,,,,,,,,,,,,,,,,
광명시,추진위원회,재건축,철산주공13단지,경기도 광명시 nan,,,,2460,,,,,,,,,,3719,,,,,,,,,,,,,,,,,,,,,,2025-07-22,,,,,,,,,,,,
광명시,정비구역,재건축,하안주공3·4단지,경기도 광명시 nan,,,,3556,,,,,,,,,,4119,,,,,,,,,,,,,,,,,,,,2025-09-29,,,,,,,,,,,,,,
광명시,정비구역,재건축,하안주공5단지,경기도 광명시 nan,,,,2049,,,,,,,,,,2832,,,,,,,,,,,,,,,,,,,,2025-05-28,,,,,,,,,,,,,,
광명시,추진위원회,재건축,하안주공8단지,경기도 광명시 nan,,,,1680,,,,,,,,,,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광명시,준공,재건축,"철산주공8,9단지",경기도 광명시 철산2동 235,173856,1985,77,2064,310,910,640,204,,3804,2057,1655,92,3712,,1922,1370,420,,92,,92,,77%,280%,2094,2051,조합,2014,2025,,,2010-07-27,2011-05-24,2019-03-29,2014-03-26,2009-10-06,2010-01-25,,2018-12-28,2020-07-15,2021-12-30,2022-12-15,2025-05-30,,,02-2680-6972,
광명시,준공,재건축,철산주공7단지,경기도 광명시 철산3동 233,61041,1985,23,599,,283,316,,,1313,602,711,,1313,,759,492,62,,,,,,67%,266%,630,630,조합,2012,2022,,,2009-11-07,2012-09-11,2022-03-15,2014-05-28,2009-12-04,2010-05-17,,2017-08-08,2018-02-12,2019-04-30,2019-08-29,2022-03-23,2022-10-14,,02-2680-6972,
광명시,준공,재건축,광육재건축단지,경기도 광명시 광명6동 354-24,73577,1981,241,241,6,23,59,97,56,1267,812,343,112,1155,,142,566,263,184,112,,112,,160%,264%,1023,907,조합,2006,2015,,,,2006-01-16,,2000-03-29,2000-06-20,2001-12-15,,2006-06-30,2006-10-19,2008-12-05,2011-12-18,2015-09-01,2016-01-20,,02-2680-6972,
