관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명,시도
41220-00057,비전쌈지,기타,,경기도 평택시 비전동 788-3,37.000544,127.092964,99999.0,어깨근육풀기+온몸허리돌리기+지압보도,,,,U형측구+집수정+집수정뚜껑+트렌치뚜껑,,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00467,율북 묘지공원,묘지공원,,경기도 평택시 청북면 율북리 산41,37.071975,126.969708,41090.0,,,,,,2009-12-30,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00067,내리 문화공원,문화공원,경기도 평택시 팽성읍 내리길 64-23,경기도 평택시 팽성읍 내리 산3-3,36.9747088985,127.0305923165,98886.0,,,,,,2013-04-15,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00035,지제울 근린공원(지제 세교지구),근린공원,,경기도 평택시 지제동 624-2답,37.017364,127.077589,44650.0,,,,,,2013-09-03,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00036,추팔 근린공원(송화택지),근린공원,,경기도 평택시 팽성읍 추팔리 398-2,36.951944,127.075162,11053.0,네트걸이대+운동장+평행봉+풋살골대,,음수전+화장실,,수도시설+집수정+측구배수,2000-10-24,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00037,통복(원평) 근린공원,근린공원,,경기도 평택시 통복동 170,36.990316,127.08003,11781.0,농구대+농구장+다리뻗치기+마라톤운동기+배드민턴장+양팔줄당기기+어깨근육풀기+옆파도타기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+지압보도+철봉+평행봉+하늘걷기,고무칩포장+그네+그네보호대+조합놀이대,음수전+주차장,,우수맨홀+지압보도장 기념비+집수정+트랜치,1989-08-19,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00038,평택공단 근린공원,근린공원,,경기도 평택시 세교동 540,37.010515,127.079436,12300.0,네트걸이대+미니축구장골대+어깨근육풀기+온몸허리돌리기+족구장+축구대+축구장+하늘걷기,,화장실,,PE 빗물받이+맹암거+머릿돌+사각수로관+우수관+우수맨홀+집수정+측구수로,1993-02-15,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00039,풀내음 근린공원(소사2지구),근린공원,,경기도 평택시 소사동 81-1,36.986737,127.126498,15700.0,,,,,,2011-07-14,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00040,하날 근린공원(소사벌택지 2호),근린공원,,경기도 평택시 비전동 1035공,37.004393,127.110811,36864.0,레그프레스+옆파도타기+온몸역기올리기+온몸허리돌리기+하늘걷기,,자전거보관대+화장실,,배수관(PVC이중벽관)설치(조경용)+우수관로+장대석놓기+집수정+집수정 일반용+측구수로관+측구수로관 설치(트랜치),2007-11-07,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00041,현신 근린공원(용이지구 1호),근린공원,,경기도 평택시 용이동 494-1,36.998446,127.151239,12538.0,농구대+농구장+미니축구장+어깨근육풀기+옆파도타기+온몸허리돌리기+윗몸일으키기+족구대+족구장+축구대+하늘걷기,고무칩포장+조합놀이대+흔들놀이,음수전+화장실+휠체어경사로,,상수관로+새들분수전+우수관+집수정,2005-10-24,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
