분석권역,서열체계,급지레벨,비교집단,기준기간,전용면적_구분,최소거래건수,시도,시군구,평단가_평균,평단가_중앙값,거래건수,서열단계수,급지,급지_점수,급지그룹,비고,산정방식,데이터출처
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,9824.660049814345,9595.808208406163,3403,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,서초구,9931.992081252567,9316.319901920833,3076,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,송파구,7497.713670664686,7209.532794995571,5556,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,과천시,7081.83372426003,6926.665625403208,936,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,용산구,6848.317937188551,6638.122738889442,837,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,성동구,6112.3049465448485,5834.424856983661,3502,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,광진구,5642.370833698234,5584.887999981357,1840,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,마포구,5748.732820364163,5538.840078501447,3398,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,성남시 분당구,5402.9137144393835,5293.615646526599,4618,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,동작구,5166.4462867029315,4959.486920750158,3686,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,강동구,4976.572320606868,4949.555174283476,4806,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,중구,4927.716378354958,4868.321636379215,899,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,종로구,5368.4376425921,4817.393481969101,521,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,양천구,5079.977972795827,4698.644518686082,3342,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,영등포구,4778.065443642776,4537.446838714992,3654,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,성남시 수정구,4325.988603117939,4496.638661729883,1824,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,서대문구,4204.241633424267,4163.849420417455,3056,10,2,9,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,하남시,3666.6996796447816,3695.570566919975,5000,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,강서구,3795.125995890345,3668.65494109856,3248,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,동대문구,3923.020701880294,3633.589605589477,2896,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,광명시,3500.031159337868,3456.2234565990807,2938,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,관악구,3363.8722737068524,3370.4669168215523,1846,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,성북구,3501.028800852777,3353.4608321835276,3507,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,은평구,3426.6748540393755,3345.1292899763735,2525,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,성남시 중원구,3332.616667763283,3162.750186099073,1314,10,3,8,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,용인시 수지구,3302.1360130075523,3134.9313645964367,7155,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,노원구,3143.1121620816552,3113.8915567803524,3269,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,구로구,3151.423105610432,3101.2068855049083,2868,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,안양시 동안구,3132.81403386836,3014.4528427748915,4115,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,수원시 영통구,3099.8608447304705,2848.2238198265113,5840,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,중랑구,2975.9417742442993,2812.2707674362887,1816,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,구리시,2854.7117229460355,2793.3238282204798,2167,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,의왕시,2914.4215198368797,2789.5115145160617,2583,10,4,7,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,강북구,2725.0642527784494,2682.613614686672,1122,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,화성시 동탄구,2847.588350543976,2616.616992521409,9687,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,금천구,2855.7664942053166,2591.4736619568744,793,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,연수구,2459.017235490198,2586.293757331499,7380,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,수원시 팔달구,2573.580393571631,2567.253281624142,1737,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,고양시 덕양구,2532.212251693847,2541.8825315812182,5387,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,부천시 원미구,2531.529863580568,2483.4680703094086,2952,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,안양시 만안구,2457.880477454206,2407.181815260481,2119,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
