분석권역,서열체계,급지레벨,비교집단,기준기간,전용면적_구분,최소거래건수,시도,시군구,읍면동,평단가_평균,평단가_중앙값,거래건수,서열단계수,급지,급지_점수,급지그룹,비고,산정방식,데이터출처
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,압구정동,17760.41893921432,17162.864486335515,140,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,서초구,반포동,13401.327581041152,13234.039116316499,768,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,개포동,11789.353194145757,11297.168111600438,519,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,대치동,11189.12159086509,10754.190058340664,518,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,서초구,잠원동,11100.207432958154,10552.371354829625,686,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,삼성동,10509.48672498787,10438.990965563495,242,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,송파구,잠실동,10761.122807804428,10405.66088694431,1286,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,역삼동,9341.400174629025,9780.42936084894,292,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,영등포구,여의도동,9614.12067865135,9490.032754170192,117,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,일원동,9698.288248282688,9320.018095233463,385,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,용산구,보광동,9759.960133424165,9224.903736961794,52,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,송파구,신천동,8926.950186506378,8577.340809915406,662,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,강남구,도곡동,8885.726030617772,8567.630357299102,447,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,서초구,서초동,8847.241506659739,8488.24378236143,807,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,종로구,평동,8292.04959060839,8377.86599367594,66,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,읍면동,수도권 전체,202301~202512,중소형,50,서울특별시,종로구,홍파동,8314.985884650725,8192.77117847954,89,10,1,10,상급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
