분석권역,서열체계,급지레벨,비교집단,기준기간,전용면적_구분,최소거래건수,시도,도시루트,시군구,평단가_평균,평단가_중앙값,거래건수,서열단계수,급지,급지_점수,급지그룹,비고,산정방식,데이터출처
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,강원특별자치도,원주시,원주시,1088.8940378921434,1101.0089219752228,6739,1,1,1,단일권역,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,강원특별자치도,춘천시,춘천시,1306.6065558193868,1225.6733985837752,5305,1,1,1,단일권역,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,거제시,거제시,760.3809879549412,700.679243496759,2786,1,1,1,단일권역,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,김해시,김해시,1046.049141854589,1012.1711759075037,9610,1,1,1,단일권역,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,양산시,양산시,1129.6659841047679,1188.5622202482564,5720,1,1,1,단일권역,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,진주시,진주시,1326.4006291886187,1362.0068197627188,6103,1,1,1,단일권역,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,창원시,창원시 성산구,1852.1329782724924,1721.1518808962896,4473,3,1,3,상위권,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,창원시,창원시 의창구,1492.0249114172534,1250.7427744098768,2589,3,1,3,상위권,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,창원시,창원시 마산합포구,1138.3266883822196,1235.1281200604526,2923,3,2,2,중위권,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
주요중소도시,3단계 상대서열,시군구,도시 내부,202301~202512,중소형,20,경상남도,창원시,창원시 진해구,1076.642843094756,1078.1523508267112,2502,3,2,2,중위권,,현재 DuckDB 재산출(도시 내부 3단계 상대서열),apartment.duckdb/v_sale_clean
