분석권역,서열체계,급지레벨,비교집단,기준기간,전용면적_구분,최소거래건수,시도,시군구,평단가_평균,평단가_중앙값,거래건수,서열단계수,급지,급지_점수,급지그룹,비고,산정방식,데이터출처
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,광주광역시,동구,1705.8444986226407,1798.048364933229,1858,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,광주광역시,남구,1457.1524667470721,1442.042555845047,3142,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,광주광역시,북구,1357.0550645215453,1431.815130585637,6033,5,3,3,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,광주광역시,광산구,1438.664953732938,1392.6023465719086,6189,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,광주광역시,서구,1482.6524469505873,1370.947915335577,3589,5,5,1,하위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,수성구,2433.1644164127933,2260.1527376148747,6583,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,중구,2064.0199972471473,2022.8886151138236,2455,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,남구,1480.4219593687994,1477.1471187701422,1084,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,달서구,1461.7108615918728,1418.012904484636,7763,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,동구,1418.3472223408587,1330.349793455973,5206,5,3,3,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,북구,1308.4084600892375,1283.9254565719168,6484,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,서구,1526.0719089940994,1272.942961097483,976,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대구광역시,달성군,1136.8895757152598,1091.51708162884,5171,5,5,1,하위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대전광역시,유성구,1842.9561076809898,1742.8353129556465,6218,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대전광역시,서구,1639.820243941907,1605.67426041397,6756,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대전광역시,중구,1410.4717522496833,1419.710048532691,2232,5,3,3,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대전광역시,동구,1312.2324836891178,1291.9264146686733,2500,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,대전광역시,대덕구,1210.7219262132617,1238.3551294869685,2077,5,5,1,하위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,수영구,2869.1046290622567,2899.7568836044206,2219,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,해운대구,2407.2870421160765,2275.880923964861,4077,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,연제구,2119.5761362179096,2205.121018695347,3861,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,동래구,2259.0830716929177,2168.5811624028747,4757,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,동구,1897.3297951909863,2043.9212615454874,768,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,남구,1982.5113542375952,1957.25167093716,3064,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,금정구,1807.402099405196,1843.6933895016668,2105,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,강서구,1777.2764625268487,1817.2206260459861,2320,5,3,3,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,서구,1671.1437450599096,1774.0441837400956,1017,5,3,3,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,부산진구,1699.700536651453,1596.016001500722,4559,5,3,3,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,북구,1430.2178663361472,1401.5812561866674,3279,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,기장군,1401.3287762301024,1276.136581926508,2214,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,영도구,1191.1137390674057,1209.8893270477222,707,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,사상구,1111.5526395120621,1003.4502352857442,1813,5,5,1,하위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,사하구,1070.887604517421,981.0175700815932,3238,5,5,1,하위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,부산광역시,중구,933.9884450227447,900.1190700987295,109,5,5,1,하위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,울산광역시,남구,1870.4863439456813,1720.3898573787508,6088,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,울산광역시,중구,1534.9899239204135,1623.7506267485421,3563,5,2,4,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,울산광역시,울주군,1298.2020549000986,1381.0364995984346,3308,5,3,3,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,울산광역시,북구,1342.4238417755732,1284.0115946246995,5943,5,4,2,중위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,시군구,광역시 내부,202301~202512,중소형,30,울산광역시,동구,1221.2948601038067,1277.7486869176228,2114,5,5,1,하위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
