분석권역,서열체계,급지레벨,비교집단,기준기간,전용면적_구분,최소거래건수,시도,시군구,읍면동,평단가_평균,평단가_중앙값,거래건수,서열단계수,급지,급지_점수,급지그룹,비고,산정방식,데이터출처
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,북구,우산동,2256.988928469988,2405.651178243571,125,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,광산구,쌍암동,2331.2971917147524,2373.5039472181697,242,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,동구,학동,1780.5135841668382,2162.523330412174,276,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,광산구,수완동,2129.289475136421,2142.6440426233853,374,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,북구,임동,1961.963975674088,2140.2813142953887,130,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,서구,농성동,1769.882493387256,2089.495793864804,185,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,서구,광천동,2105.4740868359863,2056.0859555300735,111,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,서구,화정동,1818.7630342654925,2013.2317861939691,862,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,동구,계림동,2031.1443603346834,2001.2201569811473,706,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,서구,마륵동,1882.1365280914113,1962.2559479730598,119,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,북구,풍향동,1845.6807334743048,1839.8795606282035,89,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
지방광역시,5단계 상대서열,읍면동,광역시 내부,202301~202512,중소형,20,광주광역시,광산구,신가동,1700.799156121132,1810.8151107731096,792,5,1,5,상위권,,현재 DuckDB 재산출(광역시 내부 5단계 상대서열),apartment.duckdb/v_sale_clean
