시군구,번지,단지명,주소,위도,경도,수집여부
서울특별시 중구 신당동,432-986,글로리안(A),서울특별시 중구 신당동 432-986 글로리안(A),37.550811632111,127.006476849659,Y
서울특별시 중랑구 면목동,1502,현대,서울특별시 중랑구 면목동 1502 현대,37.5762581128666,127.089787282993,Y
서울특별시 중랑구 면목동,1522,두산4,서울특별시 중랑구 면목동 1522 두산4,37.57887341637,127.082261360697,Y
서울특별시 동대문구 답십리동,645-8,신답경남,서울특별시 동대문구 답십리동 645-8 신답경남,37.5747568063894,127.044656716439,Y
서울특별시 성동구 응봉동,98,금호현대,서울특별시 성동구 응봉동 98 금호현대,37.5510468773952,127.030954035723,Y
서울특별시 동대문구 장안동,390-5,성림(390-5),서울특별시 동대문구 장안동 390-5 성림(390-5),37.570859727766,127.06775579062,Y
서울특별시 도봉구 쌍문동,59-5,한양6,서울특별시 도봉구 쌍문동 59-5 한양6,37.655894351358,127.028991985722,Y
서울특별시 성북구 돈암동,609-1,한진(609-1),서울특별시 성북구 돈암동 609-1 한진(609-1),37.5941783218836,127.010321322145,Y
서울특별시 도봉구 방학동,720-18,방학동삼성래미안1,서울특별시 도봉구 방학동 720-18 방학동삼성래미안1,37.6669775389205,127.047276059135,Y
서울특별시 중랑구 신내동,650,신내6대주,서울특별시 중랑구 신내동 650 신내6대주,37.6152619825876,127.091014257029,Y
서울특별시 노원구 월계동,924,초안2,서울특별시 노원구 월계동 924 초안2,37.6313218014175,127.04292063833,Y
서울특별시 성북구 정릉동,1021,대우,서울특별시 성북구 정릉동 1021 대우,37.618018552562,127.003530567675,Y
서울특별시 마포구 서교동,380-44,대운,서울특별시 마포구 서교동 380-44 대운,37.552896132101,126.915256535457,Y
서울특별시 양천구 신월동,1039,신월2차보람쉬움,서울특별시 양천구 신월동 1039 신월2차보람쉬움,37.5246233061067,126.837135957763,Y
서울특별시 마포구 도화동,550,삼성,서울특별시 마포구 도화동 550 삼성,37.5401140793415,126.95034743992,Y
서울특별시 강서구 화곡동,401-2,천우(401-2),서울특별시 강서구 화곡동 401-2 천우(401-2),37.539800754518,126.841244792287,Y
서울특별시 마포구 도화동,357,도화동현대,서울특별시 마포구 도화동 357 도화동현대,37.5394262391027,126.953860158167,Y
서울특별시 동작구 상도동,445,경향렉스빌,서울특별시 동작구 상도동 445 경향렉스빌,37.4952970416671,126.941935290017,Y
서울특별시 동작구 사당동,1134,경남아너스빌1차,서울특별시 동작구 사당동 1134 경남아너스빌1차,37.4882472616145,126.967806168575,Y
서울특별시 구로구 구로동,793-46,(793-46),서울특별시 구로구 구로동 793-46 (793-46),37.4862709796526,126.887941366414,Y
서울특별시 영등포구 신길동,4933,우성5,서울특별시 영등포구 신길동 4933 우성5,37.506772688615,126.903492486264,Y
서울특별시 영등포구 신길동,897-1,삼환,서울특별시 영등포구 신길동 897-1 삼환,37.5081540942389,126.919331418736,Y
서울특별시 금천구 독산동,1093-4,한신아파트,서울특별시 금천구 독산동 1093-4 한신아파트,37.4559455709656,126.887538830058,Y
