기준월,시도,예금은행가계대출_최신,예금은행가계대출_YoY,예금은행가계대출_6개월,예금은행주담대_최신,예금은행주담대_YoY,예금은행주담대_6개월,주담대비중_pct,지역해석
2025-12,충청북도,13985.5,9.9,5.2,10685.5,14.5,7.4,76.4,주담대 확장 상위
2025-12,강원특별자치도,12293.2,7.4,3.1,8950.2,13.0,5.3,72.8,주담대 확장 상위
2025-12,전북특별자치도,12656.6,6.2,1.4,8854.5,12.1,4.0,70.0,주담대 확장 상위
2025-12,제주특별자치도,9454.8,4.6,1.9,4960.9,10.5,3.9,52.5,주담대 확장 상위
2025-12,울산광역시,14565.8,6.6,2.9,11287.9,9.5,4.3,77.5,주담대 확장 상위
2025-12,인천광역시,60581.2,6.3,1.6,52638.9,7.6,1.6,86.9,중립·완만
2025-12,충청남도,20231.4,4.0,2.7,15405.3,6.7,4.4,76.1,중립·완만
2025-12,서울특별시,394723.6,5.1,2.1,275580.9,6.2,2.5,69.8,중립·완만
2025-12,전국,1009847.0,4.5,1.6,771084.9,5.9,2.1,76.4,중립·완만
2025-12,경상북도,16836.8,2.3,0.3,11877.4,5.6,1.8,70.5,중립·완만
2025-12,광주광역시,23152.5,6.4,1.3,16849.0,5.4,1.0,72.8,중립·완만
2025-12,경기도,247610.2,4.3,1.3,207209.6,5.4,1.6,83.7,중립·완만
2025-12,대전광역시,21917.2,2.9,1.6,17234.5,5.2,2.6,78.6,중립·완만
2025-12,대구광역시,43669.5,1.4,0.6,35562.3,4.1,1.6,81.4,중립·완만
2025-12,전라남도,10659.2,0.9,-0.7,7328.4,4.0,0.4,68.8,주담대 증가 둔화
2025-12,부산광역시,67424.2,2.9,0.3,55123.8,3.7,0.4,81.8,주담대 증가 둔화
2025-12,경상남도,32514.3,1.9,1.3,25254.8,3.5,2.3,77.7,주담대 증가 둔화
2025-12,세종특별자치시,7571.0,1.8,0.0,6281.0,3.2,0.5,83.0,주담대 증가 둔화
