기준월,최신값,변화_6개월,변화_12개월,지표군,지표명,금융여건해석
2026-02,2.5,0.0,-0.25,금리,기준금리,고금리·선별 레버리지 확장기
2026-01,4.5,0.3,-0.15,금리,신규_가계대출금리,고금리·선별 레버리지 확장기
2026-01,4.29,0.33,0.02,금리,신규_주택담보대출금리,고금리·선별 레버리지 확장기
2026-01,4.06,0.31,-0.1,금리,신규_전세자금대출금리,고금리·선별 레버리지 확장기
2026-01,4.26,0.31,0.0,금리,신규_고정형주담대금리,고금리·선별 레버리지 확장기
2026-01,4.4,0.35,0.06,금리,신규_변동형주담대금리,고금리·선별 레버리지 확장기
2026-01,4.33,-0.06,-0.31,금리,잔액_가계대출금리,고금리·선별 레버리지 확장기
2026-01,4.1,-0.02,-0.08,금리,잔액_주택담보대출금리,고금리·선별 레버리지 확장기
2026-01,3.95,-0.07,-0.35,금리,잔액_전세자금대출금리,고금리·선별 레버리지 확장기
2025-12,1326681.3,1.7,4.2,가계대출,가계대출_예금취급기관,고금리·선별 레버리지 확장기
2025-12,1009847.0,1.6,4.5,가계대출,가계대출_예금은행,고금리·선별 레버리지 확장기
2025-12,316834.2,1.9,3.2,가계대출,가계대출_비은행,고금리·선별 레버리지 확장기
2025-12,904996.2,3.1,7.5,가계대출,주담대_예금취급기관,고금리·선별 레버리지 확장기
2025-12,771084.9,2.1,5.9,가계대출,주담대_예금은행,고금리·선별 레버리지 확장기
2025-12,421685.1,-1.1,-2.2,가계대출,기타대출_예금취급기관,고금리·선별 레버리지 확장기
2025-12,334435.9,1.0,3.1,가계대출,정책대출,고금리·선별 레버리지 확장기
2025.04Q,6.0,,-1.0,대출행태,대출수요_종합,고금리·선별 레버리지 확장기
2025.04Q,-21.0,,6.0,대출행태,대출태도_종합,고금리·선별 레버리지 확장기
2025-12,8.7,,-0.72,부담지표,KB_PIR_경기,고금리·선별 레버리지 확장기
2025-12,10.07,,-1.29,부담지표,KB_PIR_서울,고금리·선별 레버리지 확장기
2025-12,8.49,,-0.47,부담지표,KB_PIR_인천,고금리·선별 레버리지 확장기
