시도,시군구,total_recent_3m,total_recent_6m,소형비중_최근3m,국민평형비중_최근3m,중대형비중_최근3m,대형비중_최근3m,소형비중_최근6m,국민평형비중_최근6m,중대형비중_최근6m,대형비중_최근6m,소형비중_변화_3mYoY,국민평형비중_변화_3mYoY,중대형비중_변화_3mYoY,대형비중_변화_3mYoY
경기도,화성시,4874.0,8176.0,22.0,66.2,11.6,0.2,22.5,66.2,11.1,0.2,1.5,-4.3999999999999915,3.5,-0.6000000000000001
경기도,용인시,4472.0,8695.0,25.0,52.5,16.6,5.9,25.3,51.9,16.7,6.1,-2.6000000000000014,3.700000000000003,-0.1999999999999993,-0.7999999999999998
경상남도,창원시,3699.0,6654.0,36.6,52.9,8.5,2.1,36.1,53.3,8.6,2.0,0.5,-0.30000000000000426,0.40000000000000036,-0.5
경기도,수원시,3573.0,8006.0,43.7,44.4,10.9,0.9,41.0,47.3,10.8,1.0,0.10000000000000142,-0.10000000000000142,0.7000000000000011,-0.7999999999999999
충청북도,청주시,3411.0,6990.0,43.4,45.2,9.3,2.0,41.1,49.2,7.9,1.7,-3.200000000000003,-0.29999999999999716,2.500000000000001,1.0
전라북도,전주시,3103.0,6139.0,42.4,45.2,10.7,1.7,39.3,48.5,10.7,1.5,-0.7000000000000028,1.0,-0.10000000000000142,-0.19999999999999996
경기도,고양시,2655.0,4751.0,33.5,49.5,14.4,2.6,34.2,49.0,14.3,2.5,-8.0,7.399999999999999,1.0,-0.3999999999999999
충청남도,천안시,2583.0,5021.0,46.5,44.4,7.7,1.4,46.8,44.8,7.0,1.4,-2.200000000000003,1.6999999999999957,0.2999999999999998,0.19999999999999996
경기도,남양주시,2455.0,4242.0,25.6,62.4,10.3,1.7,28.3,58.7,11.0,2.0,-4.799999999999997,6.299999999999997,-0.29999999999999893,-1.3
경기도,용인시 기흥구,2327.0,3797.0,20.2,58.7,16.0,5.0,20.0,58.9,16.0,5.2,1.3000000000000007,3.0,-3.6000000000000014,-0.7999999999999998
경기도,부천시,2089.0,3630.0,43.7,45.8,9.3,1.2,46.4,43.7,8.8,1.1,-6.099999999999994,6.899999999999999,-0.7999999999999989,-0.10000000000000009
경상남도,진주시,2007.0,3141.0,53.2,37.0,8.9,0.9,44.0,43.7,11.0,1.3,19.6,-16.700000000000003,-2.299999999999999,-0.6
세종특별자치시,세종특별자치시,1998.0,3541.0,46.1,38.5,14.9,0.5,48.3,37.8,13.6,0.4,9.399999999999999,-8.299999999999997,-0.6999999999999993,-0.5
인천광역시,서구,1957.0,3573.0,32.7,54.6,10.5,2.1,33.1,54.3,10.3,2.2,-5.299999999999997,5.800000000000004,-0.8000000000000007,0.30000000000000004
대구광역시,달서구,1881.0,3382.0,29.3,54.9,14.2,1.5,33.7,52.6,12.3,1.4,-7.099999999999998,3.6000000000000014,3.299999999999999,0.10000000000000009
경상남도,김해시,1870.0,3681.0,31.6,59.6,7.6,1.2,32.3,57.9,8.6,1.2,-1.1999999999999957,1.8000000000000043,-0.5,-0.10000000000000009
경기도,시흥시,1863.0,3981.0,39.6,55.8,4.6,0.1,39.4,56.4,4.1,0.1,-31.499999999999993,29.599999999999998,2.1999999999999997,-0.1
대전광역시,서구,1861.0,3247.0,34.0,52.7,12.1,1.2,34.7,51.9,12.2,1.2,-8.0,5.200000000000003,2.5999999999999996,0.19999999999999996
경기도,평택시,1858.0,3328.0,39.2,54.8,5.7,0.4,39.6,54.2,5.5,0.7,2.8000000000000043,-3.200000000000003,0.9000000000000004,-0.5
경기도,안양시,1832.0,4244.0,50.9,40.3,7.4,1.4,53.2,37.8,7.8,1.2,-0.8999999999999986,2.6999999999999957,-1.0,-0.8000000000000003
대전광역시,유성구,1730.0,2855.0,19.2,66.6,12.1,2.0,21.8,62.6,13.3,2.3,-10.900000000000002,11.599999999999994,0.0,-0.7999999999999998
충청남도,천안시 서북구,1690.0,3300.0,44.8,45.0,8.8,1.4,44.7,46.2,7.6,1.5,-2.0,0.5,1.200000000000001,0.2999999999999998
전라북도,전주시 덕진구,1652.0,3397.0,40.1,47.0,11.3,1.6,35.1,52.5,11.0,1.4,-2.6999999999999957,2.200000000000003,0.40000000000000036,0.10000000000000009
인천광역시,연수구,1651.0,2765.0,27.7,51.3,18.8,2.2,26.0,52.0,19.5,2.5,4.0,-2.3000000000000043,-1.1999999999999993,-0.5999999999999996
대구광역시,수성구,1637.0,2905.0,19.2,61.7,14.5,4.6,19.5,60.2,15.1,5.2,-0.1999999999999993,1.9000000000000057,-1.8999999999999986,0.1999999999999993
경상북도,구미시,1607.0,2991.0,42.7,48.5,7.5,1.2,39.6,50.9,8.1,1.4,3.1000000000000014,-1.1000000000000014,-1.6999999999999993,-0.30000000000000004
경기도,성남시,1573.0,4895.0,34.9,38.8,21.9,4.4,36.9,37.1,21.5,4.5,-1.3000000000000043,0.6999999999999957,2.1999999999999993,-1.5999999999999996
강원도,원주시,1564.0,2949.0,41.4,50.2,7.9,0.6,42.7,48.8,7.9,0.6,-13.399999999999999,12.100000000000001,1.8000000000000007,-0.4
