시도,시군구,total_recent_3m,total_recent_6m,개인간거래비중_최근3m,개인매수비중_최근3m,법인매수비중_최근3m,기타매수비중_최근3m,비개인매도물량_개인흡수비중_최근3m,개인간거래비중_최근6m,개인매수비중_최근6m,법인매수비중_최근6m,기타매수비중_최근6m,비개인매도물량_개인흡수비중_최근6m,개인간거래비중_변화_3mYoY,개인매수비중_변화_3mYoY,법인매수비중_변화_3mYoY,기타매수비중_변화_3mYoY,비개인매도물량_개인흡수비중_변화_3mYoY
경기도,화성시,4874.0,8176.0,89.3,99.7,0.2,0.1,10.4,89.7,99.8,0.2,0.1,10.0,19.0,0.20000000000000284,-0.2,0.0,-18.9
경기도,용인시,4472.0,8695.0,98.5,99.8,0.1,0.1,1.4,98.7,99.8,0.1,0.1,1.1,0.29999999999999716,0.29999999999999716,-0.30000000000000004,0.0,0.09999999999999987
경상남도,창원시,3699.0,6654.0,95.1,99.3,0.6,0.1,4.2,95.6,99.5,0.4,0.1,4.0,-0.9000000000000057,-0.10000000000000853,0.0,0.1,0.8000000000000003
경기도,수원시,3573.0,8006.0,97.1,99.8,0.2,0.0,2.7,91.1,99.9,0.1,0.0,8.7,6.199999999999989,0.5999999999999943,-0.39999999999999997,-0.3,-5.6000000000000005
충청북도,청주시,3411.0,6990.0,94.3,98.6,1.1,0.3,4.3,88.5,98.9,0.9,0.2,10.4,6.0,3.6999999999999886,-1.5,-2.3000000000000003,-2.3
전라북도,전주시,3103.0,6139.0,90.2,95.0,4.4,0.5,4.8,86.7,97.2,2.4,0.4,10.5,-1.2000000000000028,1.0,1.0000000000000004,-2.0,2.0999999999999996
경기도,고양시,2655.0,4751.0,98.5,99.7,0.0,0.3,1.2,98.5,99.7,0.1,0.2,1.2,6.599999999999994,6.5,-6.7,0.19999999999999998,-0.10000000000000009
충청남도,천안시,2583.0,5021.0,96.4,99.2,0.7,0.1,2.9,94.0,99.1,0.7,0.2,5.1,2.700000000000003,1.2000000000000028,-1.0,-0.19999999999999998,-1.4
경기도,남양주시,2455.0,4242.0,97.1,99.3,0.2,0.4,2.2,94.9,99.4,0.2,0.3,4.5,-1.4000000000000057,-0.20000000000000284,-0.2,0.30000000000000004,1.2000000000000002
경기도,용인시 기흥구,2327.0,3797.0,99.1,99.7,0.1,0.1,0.6,99.1,99.7,0.2,0.1,0.6,1.0,0.5,-0.6,0.0,-0.5000000000000001
경기도,부천시,2089.0,3630.0,91.7,97.7,1.2,1.1,5.9,88.6,96.3,1.2,2.6,7.7,-3.799999999999997,-1.7000000000000028,0.7999999999999999,0.9000000000000001,2.1000000000000005
경상남도,진주시,2007.0,3141.0,64.9,99.8,0.1,0.1,34.9,76.4,99.6,0.2,0.2,23.2,-32.8,0.5,-0.4,-0.19999999999999998,33.3
세종특별자치시,세종특별자치시,1998.0,3541.0,79.4,98.6,1.1,0.3,19.2,75.4,98.6,0.7,0.7,23.2,-13.699999999999989,3.0,1.0,-4.0,16.599999999999998
인천광역시,서구,1957.0,3573.0,91.8,99.5,0.4,0.1,7.7,90.9,99.4,0.3,0.3,8.6,8.299999999999997,11.200000000000003,-11.1,-0.1,2.9000000000000004
대구광역시,달서구,1881.0,3382.0,83.6,86.6,13.4,0.0,3.0,85.6,92.3,7.6,0.1,6.7,-14.700000000000003,-13.200000000000003,13.200000000000001,0.0,1.5
경상남도,김해시,1870.0,3681.0,96.5,98.6,1.1,0.3,2.1,93.3,98.9,1.0,0.2,5.5,1.0999999999999943,0.6999999999999886,-0.5,-0.10000000000000003,-0.3999999999999999
경기도,시흥시,1863.0,3981.0,75.8,99.7,0.2,0.1,23.9,66.4,99.8,0.2,0.1,33.4,32.5,-0.20000000000000284,0.1,0.1,-32.6
대전광역시,서구,1861.0,3247.0,97.8,99.6,0.2,0.2,1.8,98.1,99.7,0.1,0.2,1.6,5.0,3.8999999999999915,-0.6000000000000001,-3.3,-1.2
경기도,평택시,1858.0,3328.0,97.0,99.2,0.3,0.5,2.2,97.2,99.0,0.6,0.4,1.8,6.799999999999997,0.10000000000000853,-0.2,0.09999999999999998,-6.7
경기도,안양시,1832.0,4244.0,98.6,99.8,0.2,0.0,1.2,95.4,97.9,0.2,1.9,2.4,1.5999999999999943,1.2000000000000028,-1.1,-0.1,-0.40000000000000013
대전광역시,유성구,1730.0,2855.0,77.2,99.3,0.4,0.3,22.1,84.1,99.4,0.4,0.2,15.3,-19.0,0.09999999999999432,0.0,-0.2,19.200000000000003
충청남도,천안시 서북구,1690.0,3300.0,96.5,99.3,0.5,0.1,2.8,92.7,99.0,0.7,0.3,6.4,2.0999999999999943,1.7999999999999972,-1.6,-0.30000000000000004,-0.30000000000000027
전라북도,전주시 덕진구,1652.0,3397.0,84.8,91.5,8.0,0.5,6.7,79.1,95.6,4.0,0.4,16.5,-12.100000000000009,-7.5,7.6,-0.19999999999999996,4.6
인천광역시,연수구,1651.0,2765.0,96.7,99.7,0.2,0.1,3.0,96.9,99.7,0.2,0.1,2.8,-0.5,0.10000000000000853,-0.2,0.1,0.5
대구광역시,수성구,1637.0,2905.0,99.1,99.8,0.2,0.1,0.6,99.1,99.8,0.1,0.0,0.7,0.6999999999999886,0.0,0.0,0.1,-0.7000000000000001
경상북도,구미시,1607.0,2991.0,89.7,99.0,0.7,0.2,9.3,92.3,99.0,0.7,0.3,6.7,-4.799999999999997,1.0999999999999943,-0.8,-0.3,5.9
경기도,성남시,1573.0,4895.0,92.4,99.8,0.0,0.2,7.4,95.2,99.8,0.1,0.1,4.6,-2.299999999999997,0.09999999999999432,0.0,-0.09999999999999998,2.4000000000000004
강원도,원주시,1564.0,2949.0,91.0,99.1,0.8,0.1,8.1,92.1,99.4,0.5,0.1,7.3,12.900000000000006,10.0,-9.899999999999999,-0.1,-3.0
부산광역시,부산진구,1513.0,2601.0,96.0,98.0,2.0,0.0,2.0,96.3,98.6,1.2,0.2,2.3,10.799999999999997,7.5,-7.4,-0.1,-3.3
울산광역시,남구,1508.0,2878.0,97.8,99.5,0.3,0.1,1.7,98.0,99.7,0.2,0.1,1.7,1.3999999999999915,0.7999999999999972,-1.0,0.1,-0.5999999999999999
경기도,수원시 권선구,1481.0,2931.0,96.5,99.7,0.3,0.0,3.2,79.6,99.8,0.2,0.0,20.2,18.799999999999997,1.1000000000000085,-0.8,-0.3,-17.7
경기도,용인시 수지구,1475.0,3666.0,97.5,99.9,0.0,0.1,2.4,98.5,99.9,0.0,0.1,1.4,-1.0,0.10000000000000853,-0.1,0.0,1.0999999999999999
부산광역시,해운대구,1475.0,2823.0,98.8,99.9,0.1,0.0,1.0,98.2,99.5,0.4,0.1,1.4,1.3999999999999915,0.9000000000000057,-0.6,-0.3,-0.6000000000000001
경상남도,창원시 성산구,1462.0,2624.0,97.7,99.2,0.7,0.1,1.5,97.7,99.4,0.5,0.1,1.7,0.6000000000000085,-0.09999999999999432,0.0,0.1,-0.7000000000000002
전라북도,전주시 완산구,1451.0,2742.0,96.4,99.0,0.4,0.6,2.6,96.1,99.2,0.4,0.4,3.1,10.200000000000003,9.599999999999994,-5.8999999999999995,-3.6999999999999997,-0.6000000000000001
충청남도,아산시,1438.0,2807.0,90.3,98.9,1.0,0.1,8.6,89.9,98.6,1.1,0.3,8.7,6.200000000000003,0.30000000000001137,-0.10000000000000009,-0.19999999999999998,-5.9
광주광역시,북구,1398.0,2531.0,93.9,98.6,1.3,0.1,4.7,95.1,98.8,0.9,0.2,3.7,8.400000000000006,0.3999999999999915,-0.09999999999999987,-0.30000000000000004,-7.8999999999999995
