시도,시군구,total_recent_3m,total_recent_6m,20대이하비중_최근3m,30대비중_최근3m,40_50대비중_최근3m,60대이상비중_최근3m,30_50대비중_최근3m,20대이하비중_최근6m,30대비중_최근6m,40_50대비중_최근6m,60대이상비중_최근6m,30_50대비중_최근6m,20대이하비중_변화_3mYoY,30대비중_변화_3mYoY,40_50대비중_변화_3mYoY,60대이상비중_변화_3mYoY,30_50대비중_변화_3mYoY
경기도,화성시,4874.0,8176.0,4.7,37.3,44.5,13.3,81.7,4.7,38.2,44.0,12.9,82.2,0.40000000000000036,3.799999999999997,-4.0,0.0,-0.20000000000000284
경기도,용인시,4472.0,8695.0,3.4,32.9,43.6,19.8,76.5,3.3,33.9,43.8,18.8,77.7,0.10000000000000009,-0.8999999999999986,-2.6000000000000014,3.5,-3.4000000000000057
경상남도,창원시,3699.0,6654.0,3.3,25.2,49.3,21.6,74.4,3.5,25.9,49.1,21.0,75.0,-1.0,-0.10000000000000142,-1.2000000000000028,2.400000000000002,-1.3999999999999915
경기도,수원시,3573.0,8006.0,5.0,40.2,39.0,15.6,79.1,4.7,38.0,41.6,15.6,79.6,0.7000000000000002,2.6000000000000014,-4.899999999999999,2.299999999999999,-2.4000000000000057
충청북도,청주시,3411.0,6990.0,4.9,26.9,46.1,20.7,73.0,4.7,26.3,46.6,21.4,72.9,-0.39999999999999947,2.099999999999998,3.0,-1.0,5.099999999999994
전라북도,전주시,3103.0,6139.0,3.3,24.4,46.9,20.5,71.3,3.5,24.9,48.8,20.1,73.7,-1.0,-0.10000000000000142,1.0,1.1000000000000014,0.8999999999999915
경기도,고양시,2655.0,4751.0,2.5,24.4,48.5,24.3,73.0,2.8,24.3,46.9,25.6,71.2,-0.10000000000000009,1.0999999999999979,3.6000000000000014,2.0,4.700000000000003
충청남도,천안시,2583.0,5021.0,5.5,23.7,45.8,24.2,69.5,5.2,23.3,47.4,23.2,70.7,-0.40000000000000036,-1.3000000000000007,-1.4000000000000057,4.300000000000001,-2.700000000000003
경기도,남양주시,2455.0,4242.0,1.6,22.7,50.2,24.8,72.9,2.0,21.4,48.9,27.1,70.3,-1.9,-2.1999999999999993,1.5,2.400000000000002,-0.6999999999999886
경기도,용인시 기흥구,2327.0,3797.0,3.5,30.0,44.7,21.6,74.7,3.2,30.1,44.6,21.7,74.8,0.7000000000000002,0.8000000000000007,-3.0999999999999943,2.200000000000003,-2.299999999999997
경기도,부천시,2089.0,3630.0,3.3,29.9,46.2,18.3,76.1,3.5,28.9,44.4,19.5,73.3,-2.3,-4.300000000000004,3.5,1.4000000000000021,-0.8000000000000114
경상남도,진주시,2007.0,3141.0,3.7,30.4,47.8,17.8,78.2,3.7,30.1,48.5,17.3,78.7,-0.5999999999999996,2.799999999999997,4.199999999999996,-5.899999999999999,7.0
세종특별자치시,세종특별자치시,1998.0,3541.0,3.6,30.1,46.4,18.5,76.5,3.4,31.5,45.9,17.8,77.4,-0.2999999999999998,0.7000000000000028,-3.0,5.6,-2.299999999999997
인천광역시,서구,1957.0,3573.0,2.8,32.8,42.9,21.2,75.6,3.4,32.8,42.3,20.9,75.2,-0.5,3.599999999999998,2.5,5.899999999999999,5.8999999999999915
