구분,시도,시군구,심화행동라벨,근거
기다려야 할 지역,경기도,용인시 기흥구,관찰 유지,"전세가율 66.9%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,구리시,관찰 유지,"전세가율 62.4%, 월세비중 20.1%, 매매가 전세보다 2개월 선행"
매매보다 임차가 먼저 강한 지역,경상남도,창원시 성산구,관찰 유지,"전세가율 68.8%, 월세비중 29.7%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
기다려야 할 지역,서울특별시,서대문구,관찰 유지,"전세가율 51.8%, 월세비중 30.7%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,경기도,의정부시,관찰 유지,"전세가율 70.6%, 월세비중 33.4%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,대전광역시,유성구,관찰 유지,"전세가율 69.7%, 월세비중 30.1%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,수원시 권선구,관찰 유지,"전세가율 65.1%, 월세비중 65.2%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경기도,수원시 권선구,관찰 유지,"전세가율 65.1%, 월세비중 65.2%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,경상남도,김해시,관찰 유지,"전세가율 80.8%, 월세비중 44.8%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,김해시,관찰 유지,"전세가율 80.8%, 월세비중 44.8%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,김해시,관찰 유지,"전세가율 80.8%, 월세비중 44.8%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
기다려야 할 지역,대전광역시,서구,관찰 유지,"전세가율 68.2%, 월세비중 34.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,대전광역시,서구,관찰 유지,"전세가율 68.2%, 월세비중 34.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
기다려야 할 지역,대구광역시,북구,관찰 유지,"전세가율 73.1%, 월세비중 38.9%, 매매가 전세보다 4개월 선행"
기다려야 할 지역,경기도,화성시 동탄구,관찰 유지,"전세가율 56.6%, 월세비중 41.8%, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경기도,화성시 동탄구,관찰 유지,"전세가율 56.6%, 월세비중 41.8%, 월세 비중 높음"
기다려야 할 지역,부산광역시,해운대구,관찰 유지,"전세가율 53.8%, 월세비중 41.0%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,부산광역시,해운대구,관찰 유지,"전세가율 53.8%, 월세비중 41.0%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,울산광역시,남구,관찰 유지,"전세가율 68.8%, 월세비중 28.6%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
기다려야 할 지역,대구광역시,수성구,관찰 유지,"전세가율 54.5%, 월세비중 35.9%, 매매가 전세보다 14개월 선행"
매매보다 임차가 먼저 강한 지역,경기도,남양주시,관찰 유지,"전세가율 70.8%, 월세비중 23.8%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
기다려야 할 지역,경기도,광명시,관찰 유지,"전세가율 54.4%, 월세비중 23.4%, 매매가 전세보다 1개월 선행"
