심화행동라벨,시도,시군구,예측분류,투자검토분류,상승확률점수,투자적합성점수,price_12m_change_pct,trade_recovery_pct,recent_jeonse_ratio_3m,recent_jeonse_share_3m,recent_wolse_share_3m,sale_turn_ym,jeonse_turn_ym,lead_lag_months,임차수요기반양호,월세비중높음,임차선행,기다림필요,임차검증메모
관찰 유지,경기도,용인시 기흥구,상승,판단 보류,64.23371396788775,89.95544446859378,11.539354156978664,63.27526132404182,66.885,68.62745098039215,31.372549019607842,202310,202311,1.0,아니오,아니오,아니오,예,"전세가율 66.9%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,구리시,상승,판단 보류,63.6309763151771,65.55102084624652,3.9288916790700457,106.80851063829788,62.43,79.94791666666667,20.052083333333332,202309,202311,2.0,아니오,아니오,아니오,예,"전세가율 62.4%, 월세비중 20.1%, 매매가 전세보다 2개월 선행"
관찰 유지,경상남도,창원시 성산구,상승,판단 보류,60.01893623283346,77.14192566833296,5.592514606571042,38.96713615023475,68.84,70.3125,29.6875,202311,202311,0.0,예,아니오,예,아니오,"전세가율 68.8%, 월세비중 29.7%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
관찰 유지,서울특별시,서대문구,상승,우선 검토,59.84967874838474,70.14342024412299,-9.308362669407131,-5.321782178217827,51.815,69.27835051546391,30.721649484536083,202309,202311,2.0,아니오,아니오,아니오,예,"전세가율 51.8%, 월세비중 30.7%, 매매가 전세보다 2개월 선행"
관찰 유지,경기도,의정부시,상승,우선 검토,59.789935786364715,79.54076006021235,3.284566927876176,-7.230046948356805,70.6,66.6015625,33.3984375,202309,202311,2.0,아니오,아니오,아니오,예,"전세가율 70.6%, 월세비중 33.4%, 매매가 전세보다 2개월 선행"
관찰 유지,대전광역시,유성구,상승,판단 보류,59.47470712863071,81.89588414756857,15.79831828491278,23.84615384615385,69.65,69.86817325800376,30.131826741996232,202309,202310,1.0,아니오,아니오,아니오,예,"전세가율 69.7%, 월세비중 30.1%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,수원시 권선구,상승,판단 보류,59.35170316359453,75.2836339926103,-3.7157913449887614,36.96741854636591,65.12,34.81624758220503,65.18375241779498,202310,202311,1.0,아니오,예,아니오,예,"전세가율 65.1%, 월세비중 65.2%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
관찰 유지,경상남도,김해시,상승,우선 검토,58.702606981917995,73.14282187715499,1.321792841810021,-2.178649237472763,80.85,55.22875816993464,44.77124183006536,202312,202311,-1.0,아니오,예,예,예,"전세가율 80.8%, 월세비중 44.8%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
관찰 유지,대전광역시,서구,상승,판단 보류,57.66573095725576,82.29630702933608,4.744061177580305,26.028481012658222,68.155,65.97774244833069,34.02225755166932,202310,202310,0.0,아니오,아니오,예,예,"전세가율 68.2%, 월세비중 34.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
관찰 유지,대구광역시,북구,상승,판단 보류,56.51126978879879,77.72325393567152,17.90678381024915,14.234556848701876,73.08,61.076604554865426,38.923395445134574,202312,202404,4.0,아니오,아니오,아니오,예,"전세가율 73.1%, 월세비중 38.9%, 매매가 전세보다 4개월 선행"
관찰 유지,경기도,화성시 동탄구,상승,판단 보류,56.41453754998251,91.82242990654206,7.913725597880528,65.881708652793,56.65,58.173395102581075,41.826604897418925,202308,,,아니오,예,아니오,예,"전세가율 56.6%, 월세비중 41.8%, 월세 비중 높음"
관찰 유지,부산광역시,해운대구,상승,우선 검토,56.01291844039832,82.74733619368844,12.761502356015695,31.42523364485981,53.76,58.985200845665965,41.014799154334035,202311,202312,1.0,아니오,예,아니오,예,"전세가율 53.8%, 월세비중 41.0%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
관찰 유지,울산광역시,남구,상승,판단 보류,55.47916189000425,79.03488506256019,18.557616862488025,8.116627265563437,68.75,71.42857142857143,28.571428571428573,202311,202310,-1.0,예,아니오,예,아니오,"전세가율 68.8%, 월세비중 28.6%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
관찰 유지,대구광역시,수성구,상승,판단 보류,55.364861822150175,86.59242086395602,28.384741833084504,24.096385542168687,54.5,64.09883720930233,35.901162790697676,202309,202411,14.0,아니오,아니오,아니오,예,"전세가율 54.5%, 월세비중 35.9%, 매매가 전세보다 14개월 선행"
관찰 유지,경기도,남양주시,상승,판단 보류,55.1960296685195,86.68931338061238,26.544013102102525,27.51855779427359,70.83,76.23574144486692,23.76425855513308,202310,202310,0.0,예,아니오,예,아니오,"전세가율 70.8%, 월세비중 23.8%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
관찰 유지,경기도,광명시,보합,판단 보류,54.79195333198305,76.27673533128869,4.229830849859706,10.26315789473684,54.44,76.64670658682634,23.353293413173652,202309,202310,1.0,아니오,아니오,아니오,예,"전세가율 54.4%, 월세비중 23.4%, 매매가 전세보다 1개월 선행"
관찰 유지,대구광역시,달서구,보합,판단 보류,54.25451953659362,83.8839382742882,5.588566761470837,11.472982975573643,63.22,50.34168564920273,49.65831435079727,202308,202308,0.0,아니오,예,예,예,"전세가율 63.2%, 월세비중 49.7%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
관찰 유지,전북특별자치도,전주시 덕진구,보합,판단 보류,53.6510769481511,71.52901543142795,8.70166076946617,-1.8231540565177728,78.055,67.11111111111111,32.888888888888886,202311,202310,-1.0,아니오,아니오,예,예,"전세가율 78.1%, 월세비중 32.9%, 전세가 매매보다 1개월 선행, 임차 선행"
관찰 유지,인천광역시,연수구,보합,우선 검토,53.392777803431045,88.82690558413226,-2.3991220860798745,-1.151079136690647,58.29,65.2641878669276,34.73581213307241,202310,202310,0.0,아니오,아니오,아니오,예,"전세가율 58.3%, 월세비중 34.7%, 전세와 매매 전환 시점이 거의 동시"
관찰 유지,경기도,고양시 일산서구,보합,우선 검토,52.16420389543191,61.07259291458378,0.1434921806042544,-14.548238897396626,75.73,70.28571428571429,29.714285714285715,202312,202312,0.0,예,아니오,예,아니오,"전세가율 75.7%, 월세비중 29.7%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
관찰 유지,경기도,화성시 병점구,보합,판단 보류,52.104200809847285,67.70919365355358,18.489545492684776,24.36472346786247,70.38,52.97029702970297,47.02970297029703,202310,,,아니오,예,아니오,예,"전세가율 70.4%, 월세비중 47.0%, 월세 비중 높음"
관찰 유지,충청남도,천안시 서북구,보합,우선 검토,51.49842638348911,66.60399913062378,11.245352950296294,-4.9056603773584895,79.04,60.60606060606061,39.39393939393939,202312,202312,0.0,아니오,아니오,예,예,"전세가율 79.0%, 월세비중 39.4%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
관찰 유지,울산광역시,울주군,보합,우선 검토,51.419481843312425,59.89241469245816,20.86059580830113,-0.6015037593984918,78.21,57.82312925170068,42.17687074829932,202311,202309,-2.0,아니오,예,예,예,"전세가율 78.2%, 월세비중 42.2%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
관찰 유지,충청북도,청주시 상당구,보합,우선 검토,50.71283028018689,62.2201695283634,8.6433939114843,-17.48166259168704,86.195,65.54054054054055,34.45945945945946,202311,202310,-1.0,아니오,아니오,예,예,"전세가율 86.2%, 월세비중 34.5%, 전세가 매매보다 1개월 선행, 임차 선행"
관찰 유지,서울특별시,강서구,보합,판단 보류,49.71092208770559,84.69052621410805,9.631063390717888,4.31034482758621,52.33,68.38709677419355,31.612903225806452,202312,202311,-1.0,아니오,아니오,아니오,예,"전세가율 52.3%, 월세비중 31.6%, 전세가 매매보다 1개월 선행"
관찰 유지,서울특별시,영등포구,보합,판단 보류,49.29736844171215,81.6795060655091,4.360261295121748,-19.981149858623937,44.33,68.57562408223201,31.42437591776799,202310,202311,1.0,아니오,아니오,아니오,예,"전세가율 44.3%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
관찰 유지,서울특별시,노원구,보합,판단 보류,49.16069831407204,86.5545064009166,3.188169743676706,3.5264483627204024,58.055,71.67630057803468,28.32369942196532,202310,202301,-9.0,아니오,아니오,아니오,예,"전세가율 58.1%, 월세비중 28.3%, 전세가 매매보다 9개월 선행"
관찰 유지,경기도,안산시 단원구,보합,판단 보류,48.38887102414509,64.82395131493153,14.61056789665416,2.529182879377423,61.87,75.0,25.0,202310,202310,0.0,아니오,아니오,예,예,"전세가율 61.9%, 월세비중 25.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
관찰 유지,전북특별자치도,전주시 완산구,보합,우선 검토,47.263097895314814,67.09084981525756,16.180507321551694,-2.3126734505087843,81.02,26.631853785900784,73.36814621409921,202311,202309,-2.0,아니오,예,예,예,"전세가율 81.0%, 월세비중 73.4%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
관찰 유지,서울특별시,성북구,보합,판단 보류,46.54279422032359,79.31869346706702,14.069877242681784,6.877113866967299,56.855000000000004,65.27196652719665,34.72803347280335,202310,202311,1.0,아니오,아니오,아니오,예,"전세가율 56.9%, 월세비중 34.7%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,고양시 덕양구,보합,판단 보류,46.15236784599292,85.3097152792871,21.19519018439251,7.642124883504198,65.86,48.946360153256705,51.053639846743295,202310,202310,0.0,아니오,예,예,예,"전세가율 65.9%, 월세비중 51.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
관찰 유지,서울특별시,송파구,보합,우선 검토,45.890282138533586,92.44112256863107,-17.48452626523416,-17.948717948717952,37.69,60.63988095238095,39.36011904761905,202308,202310,2.0,아니오,아니오,아니오,예,"전세가율 37.7%, 월세비중 39.4%, 매매가 전세보다 2개월 선행"
관찰 유지,서울특별시,동작구,보합,판단 보류,45.56464312432728,77.14463576087861,10.078771702503708,-38.05460750853242,46.19,65.8357771260997,34.16422287390029,202312,202312,0.0,아니오,아니오,아니오,예,"전세가율 46.2%, 월세비중 34.2%, 전세와 매매 전환 시점이 거의 동시"
관찰 유지,경기도,수원시 영통구,보합,판단 보류,45.24433269881055,88.340578135188,19.126083650889836,-3.749999999999998,64.78999999999999,65.57059961315281,34.42940038684719,202309,202310,1.0,아니오,아니오,아니오,예,"전세가율 64.8%, 월세비중 34.4%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,용인시 수지구,하락,우선 검토,44.500445257772896,93.69702238643772,9.899045460770584,-14.413909141895688,61.2,71.06824925816024,28.931750741839764,202308,202309,1.0,아니오,아니오,아니오,예,"전세가율 61.2%, 월세비중 28.9%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,수원시 팔달구,하락,판단 보류,42.46257674798368,67.41360573788307,33.480100831571136,6.823529411764695,59.099999999999994,73.046875,26.953125,202310,202312,2.0,아니오,아니오,아니오,예,"전세가율 59.1%, 월세비중 27.0%, 매매가 전세보다 2개월 선행"
관찰 유지,충청북도,청주시 흥덕구,하락,판단 보류,41.559195358647784,74.57726581178005,23.58849846970077,-4.671968190854869,75.78999999999999,77.47747747747748,22.52252252252252,202309,202310,1.0,예,아니오,아니오,아니오,"전세가율 75.8%, 월세비중 22.5%, 매매가 전세보다 1개월 선행, 임차 수요 기반 양호"
관찰 유지,서울특별시,관악구,하락,판단 보류,41.092688197586064,64.16152151571988,13.642929371505751,6.144067796610164,54.905,59.84555984555985,40.15444015444015,202310,202308,-2.0,아니오,예,아니오,예,"전세가율 54.9%, 월세비중 40.2%, 전세가 매매보다 2개월 선행, 월세 비중 높음"
관찰 유지,경기도,안양시 동안구,하락,판단 보류,40.47806369279603,84.39252336448598,13.305662827477116,-17.89772727272727,56.52,77.34204793028323,22.657952069716774,202310,202312,2.0,아니오,아니오,아니오,예,"전세가율 56.5%, 월세비중 22.7%, 매매가 전세보다 2개월 선행"
관찰 유지,경기도,성남시 수정구,하락,판단 보류,39.57215682365172,71.38665507498371,28.160808422187532,13.480392156862742,46.37,64.05693950177935,35.94306049822064,202309,202308,-1.0,아니오,아니오,아니오,예,"전세가율 46.4%, 월세비중 35.9%, 전세가 매매보다 1개월 선행"
관찰 유지,경기도,하남시,하락,판단 보류,38.31189934282322,85.95023626103826,16.13426470972974,-1.9776440240756643,54.540000000000006,54.876462938881666,45.123537061118334,202310,202310,0.0,아니오,예,아니오,예,"전세가율 54.5%, 월세비중 45.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
관찰 유지,경기도,수원시 장안구,하락,판단 보류,37.86485557090436,64.60552053901326,28.89697375623923,-14.28571428571429,63.53,73.81818181818181,26.181818181818183,202310,202401,3.0,아니오,아니오,아니오,예,"전세가율 63.5%, 월세비중 26.2%, 매매가 전세보다 3개월 선행"
관찰 유지,인천광역시,서구,하락,판단 보류,37.44476305275419,90.85094222673008,47.01850195070991,4.997060552616106,62.14,59.316770186335404,40.683229813664596,202311,202310,-1.0,아니오,예,예,예,"전세가율 62.1%, 월세비중 40.7%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
관찰 유지,경기도,오산시,하락,판단 보류,37.073447119540816,66.60012182000156,35.00044081567637,-4.545454545454541,70.445,60.36036036036036,39.63963963963964,202311,202311,0.0,아니오,아니오,예,예,"전세가율 70.4%, 월세비중 39.6%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
관찰 유지,세종특별자치시,세종시,하락,판단 보류,36.90969829839238,90.05065994778376,15.7955104414651,-24.41099476439791,44.5,64.07582938388626,35.92417061611374,202308,202310,2.0,아니오,아니오,아니오,예,"전세가율 44.5%, 월세비중 35.9%, 매매가 전세보다 2개월 선행"
관찰 유지,충청북도,청주시 청원구,하락,판단 보류,36.82566160472553,54.542490762877634,34.498102355189616,-8.04387568555759,83.8,66.17647058823529,33.8235294117647,202310,202309,-1.0,아니오,아니오,예,예,"전세가율 83.8%, 월세비중 33.8%, 전세가 매매보다 1개월 선행, 임차 선행"
관찰 유지,서울특별시,광진구,하락,판단 보류,36.178496900425955,60.59211497232218,15.428414399560308,-33.45521023765996,38.239999999999995,65.47619047619048,34.523809523809526,202308,202311,3.0,아니오,아니오,아니오,예,"전세가율 38.2%, 월세비중 34.5%, 매매가 전세보다 3개월 선행"
관찰 유지,서울특별시,성동구,하락,판단 보류,34.90605967265328,75.20093592106923,17.768251858772864,-44.506517690875235,38.84,61.10304789550072,38.89695210449928,202312,202311,-1.0,아니오,아니오,아니오,예,"전세가율 38.8%, 월세비중 38.9%, 전세가 매매보다 1개월 선행"
관찰 유지,경기도,성남시 분당구,하락,우선 검토,31.27180240865483,89.99456639860901,23.78605455616556,-37.824675324675326,39.58,65.76763485477179,34.232365145228215,202307,202311,4.0,아니오,아니오,아니오,예,"전세가율 39.6%, 월세비중 34.2%, 매매가 전세보다 4개월 선행"
관찰 유지,경기도,과천시,하락,판단 보류,29.205292684603908,47.10307206431238,21.149895316048735,-62.20095693779905,42.71,67.10526315789474,32.89473684210526,202308,202310,2.0,아니오,아니오,아니오,예,"전세가율 42.7%, 월세비중 32.9%, 매매가 전세보다 2개월 선행"
보수 접근,경상남도,창원시 의창구,상승,판단 보류,68.14926460233143,50.574875027168005,8.25371730260127,35.128805620608894,78.57,62.22222222222222,37.77777777777778,202311,202311,0.0,아니오,아니오,예,예,"전세가율 78.6%, 월세비중 37.8%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
보수 접근,부산광역시,사하구,상승,판단 보류,61.02547257802345,53.65739063703274,7.9188035847278515,23.92857142857143,75.07,49.43396226415094,50.56603773584906,202311,202403,4.0,아니오,예,아니오,예,"전세가율 75.1%, 월세비중 50.6%, 매매가 전세보다 4개월 선행, 월세 비중 높음"
