구분,시도,시군구,심화행동라벨,근거
기다려야 할 지역,경기도,용인시 기흥구,관찰 유지,"전세가율 66.9%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,화성시 동탄구,관찰 유지,"전세가율 56.6%, 월세비중 41.8%, 월세화 경계"
월세화 리스크 큰 지역,경기도,화성시 동탄구,관찰 유지,"전세가율 56.6%, 월세비중 41.8%, 월세화 경계"
기다려야 할 지역,서울특별시,영등포구,관찰 유지,"전세가율 44.3%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,서울특별시,성북구,관찰 유지,"전세가율 56.9%, 월세비중 34.7%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,수원시 영통구,관찰 유지,"전세가율 64.8%, 월세비중 34.4%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,용인시 수지구,관찰 유지,"전세가율 61.2%, 월세비중 28.9%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,하남시,관찰 유지,"전세가율 54.5%, 월세비중 45.1%, 전세와 매매 전환 시점이 거의 동시, 월세화 경계"
월세화 리스크 큰 지역,경기도,하남시,관찰 유지,"전세가율 54.5%, 월세비중 45.1%, 전세와 매매 전환 시점이 거의 동시, 월세화 경계"
기다려야 할 지역,경기도,파주시,보수 접근,"전세가율 72.1%, 월세비중 36.4%, 전세가 매매보다 2개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,파주시,보수 접근,"전세가율 72.1%, 월세비중 36.4%, 전세가 매매보다 2개월 선행, 임차 선행"
기다려야 할 지역,경기도,양주시,보수 접근,"전세가율 67.7%, 월세비중 67.5%, 매매가 전세보다 1개월 선행, 월세화 경계"
월세화 리스크 큰 지역,경기도,양주시,보수 접근,"전세가율 67.7%, 월세비중 67.5%, 매매가 전세보다 1개월 선행, 월세화 경계"
기다려야 할 지역,경기도,평택시,보수 접근,"전세가율 72.2%, 월세비중 51.0%, 전세와 매매 전환 시점이 거의 동시, 월세화 경계, 임차 선행"
월세화 리스크 큰 지역,경기도,평택시,보수 접근,"전세가율 72.2%, 월세비중 51.0%, 전세와 매매 전환 시점이 거의 동시, 월세화 경계, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,평택시,보수 접근,"전세가율 72.2%, 월세비중 51.0%, 전세와 매매 전환 시점이 거의 동시, 월세화 경계, 임차 선행"
기다려야 할 지역,경기도,김포시,보수 접근,"전세가율 71.2%, 월세비중 39.9%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,시흥시,보수 접근,"전세가율 65.2%, 월세비중 41.2%, 전세가 매매보다 1개월 선행, 월세화 경계, 임차 선행"
월세화 리스크 큰 지역,경기도,시흥시,보수 접근,"전세가율 65.2%, 월세비중 41.2%, 전세가 매매보다 1개월 선행, 월세화 경계, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,시흥시,보수 접근,"전세가율 65.2%, 월세비중 41.2%, 전세가 매매보다 1개월 선행, 월세화 경계, 임차 선행"
