정책후판정,정책세부유형,심화행동라벨,시도,시군구,투자검토분류,상승확률점수,투자적합성점수,정책메모,토허활성여부,임차수요기반양호,월세비중높음,임차선행,broad,completed_unsold,completed_unsold_ratio_pct,정책판정메모
우선 회복 후보,,우선 매수 검토,경기도,부천시 원미구,우선 검토,76.36272602698541,71.58117800478158,수도권 대체지·확산 수혜 가능,아니오,예,아니오,아니오,부천시,129.0,0.0773075401819424,"준공후미분양비율 0.077%, 수도권 대체지·확산 수혜 가능, 임차 수요 기반 양호"
우선 회복 후보,,우선 매수 검토,경기도,안양시 만안구,우선 검토,72.86635264118131,69.95761790915019,수도권 대체지·확산 수혜 가능,아니오,예,아니오,아니오,안양시,61.0,0.043190427302014375,"준공후미분양비율 0.043%, 수도권 대체지·확산 수혜 가능, 임차 수요 기반 양호"
우선 회복 후보,,우선 매수 검토,경기도,군포시,우선 검토,70.61334108802245,60.94061677413123,수도권 대체지·확산 수혜 가능,아니오,예,아니오,아니오,군포시,0.0,0.0,"준공후미분양비율 0.000%, 수도권 대체지·확산 수혜 가능, 임차 수요 기반 양호"
우선 회복 후보,,우선 매수 검토,광주광역시,광산구,우선 검토,66.77026741253901,76.49222793756591,중립,아니오,예,아니오,예,광산구,83.0,0.06423104603740878,"준공후미분양비율 0.064%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,정책 리스크 점검형,우선 매수 검토,부산광역시,북구,우선 검토,71.82021514172854,63.4890429080098,중립,아니오,아니오,아니오,예,북구,155.0,0.17023052507880027,"정책 리스크 점검형, 준공후미분양비율 0.170%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,전라남도,목포시,즉시 제외,69.05987786934796,42.94506561912198,중립,아니오,예,아니오,아니오,목포시,241.0,0.33476871787748297,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.335%, 중립, 임차 수요 기반 양호"
정책 리스크 경계,미분양·월세 구조 동시 점검형,우선 매수 검토,강원특별자치도,원주시,우선 검토,68.35884803210428,61.67336140023237,중립,아니오,예,아니오,예,원주시,325.0,0.2781938797346458,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.278%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,경상남도,창원시 의창구,판단 보류,68.14926460233143,50.574875027168005,중립,아니오,아니오,아니오,예,창원시,1188.0,0.44722180394518896,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.447%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,전라남도,화순군,즉시 제외,66.64759946263356,22.161486633340576,중립,아니오,예,아니오,아니오,화순군,127.0,0.8953119492421571,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.895%, 중립, 임차 수요 기반 양호"
정책 리스크 경계,시장 규모·출구 점검형,회피,강원특별자치도,태백시,즉시 제외,66.52884456459765,2.5330242217875343,중립,아니오,아니오,아니오,아니오,태백시,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립"
