정책후판정,심화행동라벨,시도,시군구,투자검토분류,상승확률점수,투자적합성점수,정책메모,임차수요기반양호,월세화경계,임차선행,broad,completed_unsold,completed_unsold_ratio_pct,정책판정메모
우선 회복 후보,우선 매수 검토,경기도,부천시 원미구,우선 검토,76.36272602698541,71.58117800478158,수도권 대체지·확산 수혜 가능,예,아니오,아니오,부천시,129.0,0.0773075401819424,"준공후미분양비율 0.077%, 수도권 대체지·확산 수혜 가능, 임차 수요 기반 양호"
우선 회복 후보,우선 매수 검토,경기도,안양시 만안구,우선 검토,72.86635264118131,69.95761790915019,수도권 대체지·확산 수혜 가능,예,아니오,아니오,안양시,61.0,0.043190427302014375,"준공후미분양비율 0.043%, 수도권 대체지·확산 수혜 가능, 임차 수요 기반 양호"
우선 회복 후보,우선 매수 검토,경기도,군포시,우선 검토,70.61334108802245,60.94061677413123,수도권 대체지·확산 수혜 가능,예,아니오,아니오,군포시,0.0,0.0,"준공후미분양비율 0.000%, 수도권 대체지·확산 수혜 가능, 임차 수요 기반 양호"
정책 리스크 경계,회피,전라남도,목포시,즉시 제외,69.05987786934796,42.94506561912198,중립,예,아니오,아니오,목포시,241.0,0.33476871787748297,"준공후미분양비율 0.335%, 중립, 임차 수요 기반 양호"
정책 리스크 경계,회피,전라남도,화순군,즉시 제외,66.64759946263356,22.161486633340576,중립,예,아니오,아니오,화순군,127.0,0.8953119492421571,"준공후미분양비율 0.895%, 중립, 임차 수요 기반 양호"
정책 리스크 경계,회피,강원특별자치도,태백시,즉시 제외,66.52884456459765,2.5330242217875343,중립,아니오,아니오,아니오,태백시,0.0,0.0,"준공후미분양비율 0.000%, 중립"
정책 리스크 경계,관찰 유지,경기도,화성시 동탄구,판단 보류,56.41453754998251,91.82242990654206,중립,아니오,예,아니오,화성시,64.0,0.021287211042740728,"준공후미분양비율 0.021%, 중립, 월세화 경계"
정책 리스크 경계,보수 접근,경기도,양주시,판단 보류,52.32119450221225,62.39226040501126,중립,아니오,예,아니오,양주시,374.0,0.38910505836575876,"준공후미분양비율 0.389%, 중립, 월세화 경계"
정책 리스크 경계,보수 접근,경기도,평택시,판단 보류,51.56310699023732,78.33825711533457,수도권 공급 부담 경계,아니오,예,예,평택시,33.0,0.01831623817770081,"준공후미분양비율 0.018%, 수도권 공급 부담 경계, 임차 선행, 월세화 경계"
정책 리스크 경계,보수 접근,경기도,시흥시,판단 보류,50.58319629195921,88.61433773119639,중립,아니오,예,예,시흥시,20.0,0.012665522547796517,"준공후미분양비율 0.013%, 중립, 임차 선행, 월세화 경계"
정책 리스크 경계,관찰 유지,경기도,하남시,판단 보류,38.31189934282322,85.95023626103826,중립,아니오,예,아니오,하남시,3.0,0.0033083734933115716,"준공후미분양비율 0.003%, 중립, 월세화 경계"
정책 민감 관찰 후보,보수 접근,경기도,파주시,판단 보류,52.363873566515785,77.63290857328387,중립,아니오,아니오,예,파주시,1.0,0.0007204870492452898,"준공후미분양비율 0.001%, 중립, 임차 선행"
정책 중립,관찰 유지,경기도,용인시 기흥구,판단 보류,64.23371396788775,89.95544446859378,중립,아니오,아니오,아니오,용인시,157.0,0.05385472944001372,"준공후미분양비율 0.054%, 중립"
정책 중립,보수 접근,경기도,김포시,판단 보류,51.262120986216615,80.71728904881118,중립,아니오,아니오,아니오,김포시,96.0,0.06644978196165294,"준공후미분양비율 0.066%, 중립"
정책 중립,관찰 유지,서울특별시,영등포구,판단 보류,49.29736844171215,81.6795060655091,중립,아니오,아니오,아니오,영등포구,0.0,0.0,"준공후미분양비율 0.000%, 중립"
정책 중립,관찰 유지,서울특별시,성북구,판단 보류,46.54279422032359,79.31869346706702,중립,아니오,아니오,아니오,성북구,0.0,0.0,"준공후미분양비율 0.000%, 중립"
정책 중립,관찰 유지,경기도,수원시 영통구,판단 보류,45.24433269881055,88.340578135188,중립,아니오,아니오,아니오,수원시,19.0,0.00627663440256351,"준공후미분양비율 0.006%, 중립"
정책 중립,관찰 유지,경기도,용인시 수지구,우선 검토,44.500445257772896,93.69702238643772,중립,아니오,아니오,아니오,용인시,157.0,0.05385472944001372,"준공후미분양비율 0.054%, 중립"
