시도,시군구,date,sale_trades,sale_price_만원,sale_pp_만원,jeonse_trades,jeonse_price_만원,jeonse_pp_만원,jeonse_count,wolse_count,lease_count,stock_units,supply_units,시군구_상위,total_unsold_exact,completed_unsold_exact,total_unsold_broad,completed_unsold_broad,total_unsold,completed_unsold,ym,wolse_share_pct,jeonse_ratio_pct,price_6m_change_pct,price_12m_change_pct,price_24m_change_pct,future_6m_change_pct,jeonse_12m_change_pct,wolse_share_12m_change_pctp,recent_6m_trades,recent_12m_trades,prev_6m_trades,trade_recovery_pct,supply_12m_units,supply_burden_12m_pct,unsold_per_stock_pct,completed_unsold_ratio_pct,actual_label,시장국면점수,임차지지점수,공급/미분양점수,기본상승점수,movein_6m_units,movein_18m_units,rental_movein_18m_units,signal_complex_count,undervalued_count,overvalued_count,median_peer_gap_pct,listing_count,price_discount_listing_count,median_listing_gap_pct,max_listing_discount_pct,미래입주압력_6개월_pct,미래입주압력_18개월_pct,임대입주비중_18개월_pct,저평가가능비중_pct,과대반영비중_pct,가격기준급매비중_pct,저평가가능점수,촉매점수,수익률후보점수,과열가능점수,상승확률점수,예측분류,정책메모,투자적합성점수,신뢰도낮음,투자검토가능,제외사유,호가보조지표제한,투자검토분류,투자검토분류근거,재검토조건,사람검증셋판정,사람검증셋메모,점수요약
경기도,부천시 원미구,2026-02-01,82.0,58000.0,2394.1945473934047,99.0,45000.0,1825.0193562659,99.0,21.0,120.0,,0.0,부천시,,,,,,,202602,17.5,77.58620689655173,-5.86490039103591,-7.968071197211457,4.449350208318337,,,,754.0,1279.0,525.0,43.61904761904762,0.0,,,,,82.25242930450922,77.91908212560386,50.0,72.67265046576505,56.0,56.0,0.0,346,16,33,0.0,,,,,,,0.0,4.624277456647399,9.53757225433526,,72.73650234741784,97.2093023255814,59.38459030645512,47.52720457109583,76.36272602698541,상승,수도권 대체지·확산 수혜 가능,71.58117800478158,아니오,예,중립,예,우선 검토,상승확률(76.4)과 투자적합성(71.6)이 모두 높고 과열 가능성(47.5)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 76.4, 투자적합성 71.6, 저평가 72.7, 촉매 97.2, 과열 47.5"
경기도,안양시 만안구,2026-02-01,86.0,59950.0,2459.378997092518,60.0,43000.0,1738.117090288699,60.0,9.0,69.0,,0.0,안양시,,,,,,,202602,13.043478260869565,71.72643869891576,-2.7498270107395806,-4.626830353659406,-2.9119853016905894,,,,660.0,1125.0,465.0,41.93548387096775,0.0,,,,,77.33595370673655,73.58454106280193,50.0,69.18897085467529,705.0,851.0,146.0,240,8,41,0.0,,,,,,,17.156286721504113,3.3333333333333335,17.083333333333332,,66.1496342395458,96.74418604651164,53.1762660291241,56.54225352112676,72.86635264118131,상승,수도권 대체지·확산 수혜 가능,69.95761790915019,아니오,예,중립,예,우선 검토,상승확률(72.9)과 투자적합성(70.0)이 모두 높고 과열 가능성(56.5)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 72.9, 투자적합성 70.0, 저평가 66.1, 촉매 96.7, 과열 56.5"
부산광역시,북구,2026-02-01,114.0,33850.0,1343.8860078777368,74.0,28500.0,1150.373668140577,74.0,23.0,97.0,91053.0,0.0,북구,,,,,,,202602,23.711340206185568,84.19497784342688,-4.695494960492241,1.8034374785806273,6.126270803920675,,,,760.0,1357.0,597.0,27.3031825795645,0.0,0.0,,,,75.10153946937439,78.32125603864733,50.37037037037037,70.04564799386891,,,,251,4,9,0.0,,,,,,,,1.593625498007968,3.585657370517928,,62.61941805874004,89.30232558139535,73.76548576396436,40.3964952505732,71.82021514172854,상승,중립,63.4890429080098,아니오,예,중립,예,우선 검토,상승확률(71.8)과 투자적합성(63.5)이 모두 높고 과열 가능성(40.4)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 71.8, 투자적합성 63.5, 저평가 62.6, 촉매 89.3, 과열 40.4"
경기도,군포시,2026-02-01,71.0,52500.0,2072.473169005779,58.0,40000.0,1619.6311880333194,58.0,9.0,67.0,74762.0,0.0,군포시,,,,,,,202602,13.432835820895525,76.19047619047619,-3.0447951623797875,-0.242492112608883,0.1517622895188308,,,,453.0,802.0,349.0,29.79942693409743,0.0,0.0,,,,69.99181133311497,77.46799516908212,50.37037037037037,67.70311543501732,0.0,0.0,0.0,218,5,8,0.0,1231.0,91.0,4.335,32.52,0.0,0.0,,2.293577981651376,3.669724770642202,7.392363931762795,66.8422926843162,87.96544253908594,69.0633594969473,31.367046625125635,70.61334108802245,상승,수도권 대체지·확산 수혜 가능,60.94061677413123,아니오,예,중립,아니오,우선 검토,상승확률(70.6)과 투자적합성(60.9)이 모두 높고 과열 가능성(31.4)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 70.6, 투자적합성 60.9, 저평가 66.8, 촉매 88.0, 과열 31.4"
강원특별자치도,원주시,2026-02-01,171.0,24100.0,952.2968197879858,223.0,20000.0,776.7447334353301,223.0,77.0,300.0,91908.0,0.0,원주시,,,,,,,202602,25.666666666666668,82.98755186721992,-12.312496444306776,-9.398202678532485,-8.868425652857702,,,,1228.0,2406.0,1178.0,4.244482173174879,0.0,0.0,,,,80.76918877606727,75.63043478260869,50.37037037037037,71.37092027693254,2137.0,2490.0,0.0,361,12,15,0.0,,,,,2.3251512381947164,2.7092309701005353,0.0,3.3240997229916895,4.1551246537396125,,73.22161262146523,49.43974630021142,73.88163146351583,39.97001831283685,68.35884803210428,상승,중립,61.67336140023237,아니오,예,중립,예,우선 검토,상승확률(68.4)과 투자적합성(61.7)이 모두 높고 과열 가능성(40.0)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 68.4, 투자적합성 61.7, 저평가 73.2, 촉매 49.4, 과열 40.0"
광주광역시,광산구,2026-02-01,153.0,32700.0,1381.7112205115782,217.0,25710.0,998.3620099267846,217.0,46.0,263.0,128233.0,0.0,광산구,,,,,,,202602,17.490494296577946,78.62385321100918,-10.486775516504176,1.8929732492559248,4.511741785259149,,,,1177.0,2331.0,1154.0,1.9930675909878737,0.0,0.0,,,,71.40026203734033,78.91062801932367,50.37037037037037,68.771417214292,554.0,1502.0,0.0,288,10,11,0.0,,,,,0.4320260775307448,1.171305358215124,0.0,3.4722222222222223,3.8194444444444446,,66.43227972486079,57.76955602536998,71.04392819742743,40.85026030035038,66.77026741253901,상승,중립,76.49222793756591,아니오,예,중립,예,우선 검토,상승확률(66.8)과 투자적합성(76.5)이 모두 높고 과열 가능성(40.9)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 66.8, 투자적합성 76.5, 저평가 66.4, 촉매 57.8, 과열 40.9"
광주광역시,남구,2026-02-01,82.0,34250.0,1423.831440080353,69.0,30000.0,1203.8523274478332,69.0,41.0,110.0,67818.0,0.0,남구,,,,,,,202602,37.27272727272727,87.5912408759124,0.8097878225291177,-0.1655620829663306,3.2584072622602545,,,,648.0,1224.0,576.0,12.5,0.0,0.0,,,,66.1196637187466,61.289855072463766,50.37037037037037,60.49190735545355,0.0,624.0,0.0,261,7,12,0.0,,,,,0.0,0.92010970538795,0.0,2.681992337164751,4.597701149425287,,69.49989081777485,75.35940803382664,70.21350101756535,35.26679297064983,64.0732299765577,상승,중립,57.84598624560952,아니오,예,중립,예,우선 검토,상승확률(64.1)과 투자적합성(57.8)이 모두 높고 과열 가능성(35.3)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 64.1, 투자적합성 57.8, 저평가 69.5, 촉매 75.4, 과열 35.3"
부산광역시,동래구,2026-02-01,146.0,52250.0,2107.850529692925,101.0,40100.0,1589.687115372158,101.0,54.0,155.0,71857.0,0.0,동래구,,,,,,,202602,34.83870967741935,76.7464114832536,4.551042200530442,3.955355668946536,-4.699882269212985,,,,1223.0,2185.0,962.0,27.13097713097714,0.0,0.0,,,,69.77726826072715,55.17149758454106,50.37037037037037,59.813524051472825,0.0,560.0,0.0,370,8,19,0.0,,,,,0.0,0.7793256050210835,0.0,2.1621621621621623,5.135135135135135,,60.421361502347416,85.78224101479915,58.323254826025966,42.85483602814916,63.80000721360296,상승,중립,74.28041676393484,아니오,예,중립,예,우선 검토,사람 검증셋에서 우선검토로 표시됨. 부산 내 선호와 유동성이 높은 축에 속해 핵심 생활권 예시로 우선 검토가 타당,실거래 흐름과 실제 매수 가능 단지를 함께 점검,우선검토,부산 내 선호와 유동성이 높은 축에 속해 핵심 생활권 예시로 우선 검토가 타당,"상승확률 63.8, 투자적합성 74.3, 저평가 60.4, 촉매 85.8, 과열 42.9"
부산광역시,연제구,2026-02-01,124.0,54700.0,2262.085130560933,92.0,35490.0,1418.9296102083713,92.0,41.0,133.0,56119.0,0.0,연제구,,,,,,,202602,30.827067669172937,64.88117001828154,-3.993531822907004,6.060033374845197,10.598213374417975,,,,1052.0,1796.0,744.0,41.3978494623656,0.0,0.0,,,,75.41543836663391,49.684782608695656,50.37037037037037,60.14844185228963,376.0,544.0,0.0,293,5,31,0.0,,,,,0.6700048112047613,0.9693686630196546,0.0,1.706484641638225,10.580204778156997,,50.323220329730326,86.77589852008455,46.06445980122898,57.57242751789099,62.66877712407498,상승,중립,67.26709974482198,아니오,예,중립,예,우선 검토,상승확률(62.7)과 투자적합성(67.3)이 모두 높고 과열 가능성(57.6)이 과하지 않음,단지 단계에서 상품성·호가·매수 실행 가능성을 추가 점검,,,"상승확률 62.7, 투자적합성 67.3, 저평가 50.3, 촉매 86.8, 과열 57.6"
부산광역시,부산진구,2026-02-01,112.0,38000.0,1525.8949829621074,91.0,27195.0,1055.95247340219,91.0,68.0,159.0,102988.0,0.0,부산진구,,,,,,,202602,42.76729559748428,71.5657894736842,-8.424549040868968,-0.6441371242709271,-4.307099421041083,,,,1144.0,1982.0,838.0,36.51551312649164,0.0,0.0,,,,83.50747898242167,39.759661835748794,50.37037037037037,59.91146582807333,607.0,1997.0,0.0,478,3,16,0.0,,,,,0.5893890550355381,1.9390608614595872,0.0,0.6276150627615062,3.3472803347280333,,53.85709411507807,76.0676532769556,45.72843107229654,44.392676354107735,61.42673818845638,상승,중립,73.2300546580051,아니오,예,중립,예,우선 검토,사람 검증셋에서 우선검토로 표시됨. 부산 핵심 생활권 접근성과 시장 규모가 충분해 우선 검토군 예시로 적절,실거래 흐름과 실제 매수 가능 단지를 함께 점검,우선검토,부산 핵심 생활권 접근성과 시장 규모가 충분해 우선 검토군 예시로 적절,"상승확률 61.4, 투자적합성 73.2, 저평가 53.9, 촉매 76.1, 과열 44.4"
