권역,시도,기존매매평당가,매매YoY,거래회복률,분양가격_기준월,분양가격_최신,분양가프리미엄_pct,분양가격지수_최신,분양가격지수_6개월변화,초기분양률_기준월,초기분양률_최신,초기분양률_전년동기차,분양세대수_최근6개월,분양세대수_증감률pct,대지비비율_기준월,대지비비율_최신,주택매매심리_기준월,주택매매심리_최신,주택매매심리_최근3개월,주택매매심리_전년동기차,부동산시장심리_최신,KB_기준월,KB_매수우위지수_최신,KB_매수우위지수_최근3개월,KB_매매가격전망지수_최신,KB_매매가격전망지수_최근3개월,KB_매매거래활발지수_최신,KB_매매거래활발지수_최근3개월,1차시장해석,심리해석,KB민간심리해석,종합해석
기타지방,강원특별자치도,1158.682,9.538,5.894,2026-01,4603.0,297.3,239.1,9.8,2025-04,66.7,12.6,1145.0,-6.8,,,2026-01,105.9,103.8,3.1,100.1,2026-02,36.5,35.9,91.2,91.9,20.7,16.1,1차시장 회복,중립/혼합,민간심리 약세,혼합형
기타지방,경상남도,1095.021,8.177,14.379,2026-01,4510.0,311.9,202.4,-2.0,2025-04,38.6,35.7,1801.0,1274.8,,,2026-01,116.3,113.1,15.9,108.3,2026-02,36.6,36.1,104.7,104.3,22.4,20.6,1차시장 부진,중립/혼합,민간심리 중립,1차시장 부진형
기타지방,경상북도,992.08,6.295,-0.286,2026-01,4228.0,326.2,194.8,-19.3,,,,2928.0,,2026-01,17.0,2026-01,117.0,111.8,13.0,106.6,2026-02,40.7,40.3,99.1,99.8,18.0,20.6,혼합,중립/혼합,민간심리 중립,혼합형
기타지방,전라남도,1011.297,-0.294,3.432,2026-01,3700.0,265.9,217.2,-16.8,2025-04,39.8,-55.0,1243.0,-18.7,2026-01,12.0,2026-01,104.7,104.6,5.5,105.3,2026-02,34.2,31.3,101.7,99.6,31.8,21.2,1차시장 부진,중립/혼합,거래체감 선행형,1차시장 부진형
기타지방,전북특별자치도,1065.082,13.82,0.203,2026-01,3862.0,262.6,205.3,14.3,2025-04,25.2,,1080.0,-37.9,,,2026-01,128.0,124.3,15.0,113.6,2026-02,66.6,60.9,107.5,108.0,18.8,15.2,1차시장 부진,심리-가격 동행 강세,민간심리 강세,혼합형
기타지방,제주특별자치도,1706.079,17.479,2.135,2026-01,4473.0,162.2,,,,,,163.0,-87.1,2026-01,23.0,2026-01,96.3,101.0,2.2,93.4,2026-02,37.1,31.0,84.0,89.3,12.2,9.9,혼합,중립/혼합,민간심리 약세,혼합형
기타지방,충청남도,1011.721,9.269,4.091,2026-01,4371.0,332.0,202.2,9.6,2025-04,72.1,-27.9,5947.0,-7.5,,,2026-01,111.8,109.0,5.7,104.3,2026-02,26.2,25.9,92.1,93.1,14.2,11.7,1차시장 회복,중립/혼합,민간심리 약세,혼합형
기타지방,충청북도,1183.687,15.08,-2.93,2026-01,4533.0,283.0,221.3,4.0,2025-04,74.3,-25.7,1407.0,-20.7,,,2026-01,121.1,114.8,9.8,107.9,2026-02,35.2,29.7,99.2,99.7,18.5,17.7,혼합,중립/혼합,민간심리 약세,혼합형
수도권,경기도,2439.959,12.378,5.692,2026-01,7305.0,199.4,243.4,27.2,2025-04,59.3,-31.2,29058.0,5.3,2026-01,44.0,2026-01,124.1,119.6,16.5,115.1,2026-02,49.1,47.2,105.7,107.6,26.8,21.2,혼합,중립/혼합,민간심리 중립,혼합형
수도권,서울특별시,4718.053,-0.086,-13.469,2026-01,15953.0,238.1,232.0,7.5,2025-04,100.0,7.7,1549.0,-77.0,2026-01,38.0,2026-01,138.2,132.5,23.2,124.2,2026-02,85.3,83.7,110.8,117.5,24.9,20.3,1차시장 강세,심리 선행형,민간심리 강세,심리 선행·정책 제약형
